distance_ticks,count
0,2337
1,665
2,246
3,172
4,191
5,188
6,205
7,158
8,152
9,169
10,140
11,135
12,165
13,112
14,121
15,118
16,84
17,78
18,72
19,72
20,74
21,79
22,57
23,67
24,48
25,40
26,47
27,47
28,45
29,56
30,45
31,38
32,35
33,43
34,50
35,39
36,51
37,66
38,45
39,45
40,24
41,22
42,33
43,36
44,28
45,34
46,41
47,18
48,12
49,18
50,19
51,25
52,19
53,17
54,23
55,29
56,14
57,21
58,23
59,22
60,27
61,40
62,38
63,49
64,39
65,40
66,57
67,136
68,76
69,292
70,454
71,119
72,522
73,817
74,214
75,145
76,1260
77,725
78,203
79,229
80,182
81,206
82,228
83,146
84,168
85,114
86,62
87,42
88,33
89,39
90,39
91,25
92,23
93,9
94,7
95,14
96,23
97,13
98,8
99,5
100,8
101,2
102,4
103,2
104,6
105,1
106,1
107,3
108,6
109,5
110,4
111,2
112,3
113,3
114,3
115,3
116,5
117,3
118,6
119,4
120,3
121,1
122,1
123,3
124,4
125,4
126,3
127,5
128,2
129,3
130,5
131,4
132,6
133,13
134,4
135,6
136,4
137,1
138,4
139,6
140,6
141,3
142,8
143,4
144,9
145,5
146,8
147,13
148,5
149,3
150,9
151,6
152,6
153,3
154,6
155,3
156,3
157,7
158,8
159,15
160,8
161,12
162,10
163,12
164,10
165,5
166,4
167,5
168,7
169,9
170,9
171,9
172,11
173,8
174,10
175,8
176,3
177,14
178,8
179,13
180,21
181,37
182,76
183,80
184,48
185,35
186,16
187,12
188,13
189,7
190,7
191,7
192,9
193,4
194,9
195,5
196,6
197,5
198,6
199,2
200,5
201,6
202,2
203,1
204,5
205,2
206,1
207,8
208,9
209,7
210,1
211,3
212,6
213,8
214,1
215,6
216,2
217,1
218,4
219,3
221,1
223,1
224,3
225,1
226,2
229,1
231,1
233,2
235,1
237,2
242,1
245,2
246,2
248,4
251,2
254,3
255,1
261,2
262,2
263,2
264,2
265,1
266,1
270,2
272,2
273,1
278,1
279,1
282,1
283,2
288,2
289,2
291,1
296,5
297,2
303,1
306,1
307,1
308,2
309,2
311,3
312,3
316,1
317,1
318,1
319,1
321,2
322,5
323,3
325,2
326,3
330,2
331,3
343,2
345,1
348,1
353,1
356,1
357,2
358,1
360,2
361,1
364,2
374,1
375,2
377,2
379,1
381,1
383,1
386,1
393,1
394,3
395,2
400,2
410,1
420,1
434,1
441,1
454,2
455,1
461,1
468,1
501,1
505,1
506,1
517,5
519,1
522,1
530,2
531,1
539,3
540,21
543,2
550,1
578,1
579,3
583,2
584,2
585,2
594,2
603,1
604,18
605,1
609,1
615,1
616,3
620,1
621,1
625,1
627,1
629,21
631,3
632,2
633,1
636,1
637,1
639,21
644,2
647,1
648,1
649,1
651,4
653,1
654,21
657,2
671,3
672,3
679,2
680,1
684,20
686,1
689,2
694,20
698,1
699,1
703,3
704,18
706,20
707,4
712,2
713,21
718,1
722,3
728,1
731,1
742,1
744,17
751,25
759,21
761,1
762,3
763,3
767,1
769,4
776,21
784,21
786,1
789,1
799,19
827,3
836,2
844,3
887,1
923,4
2401,1
