distance_ticks,count
0,2289
1,871
2,481
3,987
4,631
5,427
6,303
7,142
8,148
9,62
10,42
11,64
12,63
13,67
14,62
15,85
16,96
17,126
18,36
19,20
20,14
21,7
22,9
23,7
24,7
25,15
26,12
27,7
28,8
29,10
30,7
31,16
32,17
33,7
34,8
35,16
36,7
37,38
38,36
39,26
40,7
41,1
42,2
43,4
44,11
45,4
46,1
47,3
48,7
49,4
50,4
51,3
52,1
54,1
55,1
56,1
60,6
65,3
66,4
71,1
75,3
76,1
80,1
81,1
86,1
87,1
95,1
97,3
102,3
103,1
104,1
107,1
108,4
109,1
110,1
111,24
112,2
113,23
114,1
119,6
121,23
123,1
124,1
125,2
132,1
138,1
139,2
141,3
146,3
147,3
154,15
156,16
158,12
159,1
160,11
164,8
172,1
195,1
247,1
519,1
