quantity,count
1,643
2,406
3,201
4,169
5,325
6,153
7,126
8,85
9,90
10,483
11,90
12,65
13,51
14,66
15,126
16,57
17,53
18,77
19,50
20,350
21,67
22,74
23,76
24,39
25,41
26,59
27,49
28,45
29,61
30,61
31,43
32,40
33,59
34,46
35,43
36,42
37,131
38,35
39,32
40,76
41,27
42,34
43,31
44,27
45,20
46,20
47,34
48,30
49,32
50,122
51,31
52,34
53,22
54,23
55,33
56,28
57,19
58,17
59,20
60,46
61,26
62,22
63,42
64,17
65,28
66,19
67,21
68,20
69,17
70,27
71,24
72,21
73,26
74,41
75,31
76,18
77,22
78,17
79,31
80,61
81,19
82,17
83,9
84,27
85,25
86,28
87,15
88,20
89,27
90,58
91,19
92,17
93,17
94,31
95,37
96,26
97,30
98,42
99,63
100,2614
101,3
102,3
103,2
105,5
106,2
107,3
109,2
110,1
111,2
114,2
115,1
117,3
118,1
119,1
120,1
121,1
122,2
123,2
125,1
127,4
130,1
134,1
136,1
137,4
138,2
139,1
140,2
143,2
145,2
148,1
149,1
150,4
151,1
153,2
154,1
155,1
156,1
158,2
162,4
163,1
164,1
168,3
170,2
172,1
174,1
176,2
177,1
178,2
179,1
181,2
182,2
183,1
184,1
185,1
186,1
188,1
189,1
190,4
192,3
194,2
195,1
196,3
197,1
200,67
204,1
207,1
222,1
225,1
238,1
251,1
266,1
273,1
280,1
290,1
300,8
307,1
320,1
351,1
400,6
411,1
450,1
500,2
621,1
700,2
800,1
