quantity,count
1,168
2,69
3,54
4,54
5,54
6,63
7,17
8,21
9,45
10,84
11,39
12,56
13,46
14,24
15,317
16,43
17,40
18,27
19,29
20,790
21,15
22,47
23,48
24,44
25,78
26,46
27,52
28,434
29,45
30,591
31,42
32,60
33,62
34,55
35,109
36,41
37,50
38,44
39,121
40,449
41,47
42,42
43,58
44,33
45,66
46,49
47,51
48,46
49,77
50,211
51,74
52,63
53,93
54,87
55,86
56,61
57,62
58,59
59,40
60,90
61,33
62,50
63,66
64,68
65,57
66,43
67,71
68,58
69,51
70,98
71,50
72,34
73,61
74,43
75,64
76,35
77,90
78,61
79,65
80,66
81,32
82,51
83,58
84,41
85,80
86,38
87,73
88,83
89,50
90,36
91,71
92,54
93,68
94,76
95,28
96,39
97,61
98,84
99,98
100,146511
101,22
102,31
103,62
104,20
105,64
106,13
107,44
108,21
109,28
110,12
111,38
112,34
113,27
114,20
115,23
116,43
117,18
118,13
119,26
120,465
121,14
122,6
123,18
124,16
125,8
126,17
127,3
129,18
130,10
131,5
132,16
133,13
134,12
135,5
136,8
137,7
138,5
139,3
140,2
141,13
142,36
143,18
144,8
145,4
146,33
147,1
148,4
149,20
150,87
151,15
152,11
153,18
154,11
155,16
156,8
157,27
158,17
159,25
160,18
161,13
162,12
163,25
164,7
165,11
166,9
167,3
168,22
169,51
170,17
171,2
172,4
173,16
174,23
175,7
176,7
177,21
178,5
179,11
180,11
181,5
182,15
183,10
184,10
185,8
186,42
187,4
188,42
189,6
190,5
191,5
192,5
193,12
194,14
195,19
196,61
197,16
198,16
199,18
200,31939
201,3
202,7
203,32
204,17
205,41
206,7
207,4
208,17
209,31
210,6
211,32
212,11
213,7
214,9
215,5
216,5
217,10
218,10
219,6
220,14
221,13
222,8
223,17
224,7
225,9
226,4
227,6
228,6
229,7
230,6
231,9
232,94
233,4
234,15
235,16
236,7
237,13
238,5
239,1
240,17
241,8
242,9
243,1
244,1
245,9
246,6
247,4
248,2
249,14
250,84
251,2
252,8
253,5
254,9
255,16
256,2
257,11
258,3
259,4
260,6
261,8
262,7
263,5
264,8
265,10
266,3
267,5
268,1
269,87
270,13
271,3
272,4
273,5
274,11
275,1
276,6
277,2
278,2
279,1
280,5
281,1
282,4
283,2
284,1
285,4
286,12
287,1
288,9
289,2
290,3
291,40
293,1
294,5
295,2
296,1
297,18
299,2
300,14447
301,5
302,7
303,2
304,2
305,3
306,3
307,9
309,2
310,29
311,56
312,3
313,7
314,6
315,1
316,2
318,2
319,13
320,33
321,7
322,1
323,9
324,3
325,2
326,4
327,3
328,8
329,6
330,35
331,4
333,4
334,11
335,9
336,7
337,5
338,7
339,20
340,36
341,10
342,5
343,1
344,7
345,9
346,5
347,6
349,10
350,80
352,2
354,18
355,2
356,12
357,43
358,13
360,57
361,7
362,6
363,4
364,3
366,8
367,14
368,2
369,6
370,69
371,17
372,11
373,18
374,3
375,5
378,1
379,3
380,36
381,1
382,2
383,1
384,4
385,5
386,6
387,6
388,6
389,7
390,32
391,10
392,2
393,8
394,5
395,8
396,9
397,4
398,7
399,5
400,8645
401,7
402,9
403,40
404,4
405,2
407,3
408,5
409,3
410,47
411,28
412,3
413,9
414,1
415,6
416,7
417,1
418,3
419,7
420,10
421,2
422,1
423,5
424,9
425,2
427,2
428,5
430,21
431,1
432,9
433,7
434,2
435,14
436,4
440,34
441,1
442,3
444,1
446,1
447,7
449,6
450,149
451,3
452,3
453,6
454,2
455,4
456,1
457,3
458,15
460,34
461,4
462,10
463,5
464,6
465,10
466,4
467,5
469,4
470,103
471,4
472,2
473,1
474,4
475,18
476,1
477,3
478,7
479,1
480,43
481,1
482,7
484,5
486,2
487,1
488,2
489,1
490,49
491,13
492,5
493,2
494,2
495,1
496,4
497,1
498,3
499,3
500,8139
501,2
502,1
503,7
505,1
508,1
510,1
511,45
513,2
514,11
515,14
516,7
518,2
519,1
520,10
521,5
524,4
528,2
529,3
531,1
532,4
533,4
534,10
535,10
538,2
540,1
541,1
542,5
543,5
544,6
545,3
546,1
547,2
548,2
549,3
550,43
551,1
554,1
555,4
557,1
560,1
563,1
568,3
570,3
571,1
574,1
575,1
577,1
578,1
579,1
581,1
585,1
586,1
588,1
590,2
592,4
594,1
599,1
600,6025
602,2
603,3
604,5
607,2
610,8
611,1
613,8
614,4
615,4
616,7
617,10
618,17
619,3
620,15
623,5
625,1
626,5
627,7
628,3
629,3
630,17
631,3
632,1
634,6
637,7
640,5
641,4
642,1
646,1
648,2
649,1
650,70
660,4
665,3
666,3
670,9
675,1
676,4
677,1
680,12
682,19
684,1
690,12
691,5
695,2
698,1
699,3
700,2693
703,1
705,11
709,1
710,7
716,2
720,15
722,4
723,4
724,3
730,17
732,1
736,8
737,1
739,8
740,10
742,4
745,1
746,1
747,1
749,4
750,17
751,1
760,10
765,3
766,4
767,1
768,3
770,7
775,7
776,7
780,4
783,1
790,10
800,2035
803,9
806,2
807,4
810,12
814,1
815,3
818,5
820,20
825,5
828,6
830,19
832,1
837,10
840,5
843,9
850,29
851,1
855,2
857,1
858,2
859,1
870,22
871,1
878,4
880,17
890,20
893,4
896,1
897,1
898,1
900,2115
906,8
907,1
908,10
909,1
916,8
922,9
924,6
930,8
935,1
936,1
938,2
940,4
950,6
953,6
956,7
958,5
960,23
961,1
963,12
965,1
970,3
972,12
975,22
980,15
986,1
990,3
995,1
996,1
998,2
1000,3709
1041,1
1050,6
1059,1
1069,1
1100,1227
1138,1
1150,3
1200,212
1224,1
1229,1
1250,7
1300,287
1346,1
1349,1
1350,1
1384,4
1400,145
1415,2
1450,4
1470,2
1495,1
1500,934
1550,2
1600,70
1700,187
1773,1
1789,1
1798,1
1800,42
1822,1
1850,3
1855,1
1900,155
1968,1
1997,1
2000,343
2100,6
2200,5
2210,1
2250,1
2300,7
2400,4
2406,1
2500,198
2600,5
2603,1
2697,1
2700,8
2800,3
2900,2
3000,114
3002,4
3200,3
3300,2
3500,176
3600,2
3615,2
3700,1
3800,2
3822,1
3866,1
3900,3
4000,62
4200,2
4300,1
4400,1
4418,1
4500,40
4600,1
4700,6
4800,1
5000,13
5300,1
5400,1
5700,7
5900,5
6000,1
7100,16
7700,2
8300,1
9000,1
9500,2
10000,8
15000,1
20000,4
50000,1
