quantity,count
1,763
2,222
3,261
4,156
5,577
6,161
7,40
8,126
9,53
10,539
11,233
12,171
13,39
14,137
15,606
16,201
17,56
18,256
19,106
20,298
21,105
22,73
23,66
24,104
25,227
26,69
27,99
28,61
29,79
30,497
31,182
32,37
33,147
34,26
35,20
36,33
37,33
38,23
39,26
40,23
41,123
42,229
43,54
44,18
45,24
46,17
47,20
48,24
49,8
50,119
51,15
52,24
53,7
54,5
55,13
56,9
57,14
58,37
59,2
60,10
61,1
62,11
63,99
64,3
65,30
66,2
67,22
68,126
69,1
70,13
71,16
72,1
73,4
74,14
75,11
76,76
77,5
78,6
79,5
80,20
81,4
82,11
83,5
84,25
85,23
86,27
87,1
88,6
89,73
90,37
91,14
92,9
93,35
94,9
95,9
96,14
97,45
98,20
99,81
100,48599
101,4
102,2
103,10
104,2
105,8
106,1
107,1
108,2
109,9
110,3
111,8
112,1
113,1
114,1
117,3
118,2
119,1
120,35
121,5
123,3
124,3
125,7
130,13
131,8
133,1
137,3
138,2
142,11
143,50
144,6
145,2
148,1
150,17
154,39
161,4
165,131
167,1
170,1
171,3
173,1
179,1
180,1
182,1
185,1
187,9
188,3
189,1
191,1
195,1
198,3
199,20
200,1488
201,1
210,12
211,1
220,1
224,1
225,1
226,3
230,3
232,3
246,2
250,3
256,260
258,4
260,1
261,13
264,106
266,1
277,1
282,25
285,2
292,4
296,69
300,119
360,1
369,5
400,9
428,1
500,8
600,33
700,10
1000,50
1300,1
10000,1
