quantity,count
1,2443
2,995
3,543
4,256
5,19326
6,144
7,146
8,269
9,167
10,337
11,96
12,431
13,55
14,31
15,387
16,133
17,18
18,43
19,24
20,296
21,19
22,28
23,14
24,25
25,61
26,16
27,4
28,3
29,2
30,39
31,23
32,24
33,4
34,8
35,7
36,4
37,12
38,17
39,21
40,151
41,56
42,30
43,15
44,16
45,7
46,17
47,13
48,2
49,3
50,55
51,34
52,2
53,53
54,49
55,2
56,6
57,7
58,4
59,11
60,17
61,8
62,35
63,3
64,3
65,4
66,22
67,4
68,10
69,2
70,4
71,16
72,25
73,4
74,4
75,3
76,2
77,3
78,5
79,2
80,4
81,1
82,8
84,2
85,2
86,3
87,1
88,1
89,7
90,19
91,2
93,1
94,4
95,10
96,4
97,26
98,37
99,9
100,31265
101,20
103,1
114,2
120,2
125,1
141,1
150,1
153,1
158,4
168,10
169,1
170,1
175,1
176,1
179,1
182,1
192,2
193,1
194,1
195,1
196,1
198,3
200,485
275,1
295,3
300,33
350,1
386,1
400,24
500,20
600,1
770,2
1004,1
