quantity,count
1,405
2,117
3,62
4,55
5,47
6,41
7,33
8,22
9,16
10,52
11,11
12,10
13,16
14,17
15,19
16,8
17,11
18,8
19,11
20,19
21,7
22,6
23,11
24,5
25,8
26,14
27,5
28,7
29,5
30,10
31,3
32,3
33,3
34,4
35,7
36,10
37,7
38,6
39,6
40,3
41,2
42,2
43,1
44,4
45,7
46,7
47,4
48,6
49,6
50,11
51,6
52,5
54,9
55,3
56,9
57,9
58,1
59,3
60,2
61,6
62,5
63,5
64,11
65,14
66,2
67,5
68,4
69,3
70,3
71,7
72,5
73,2
74,8
75,4
76,3
77,2
78,3
79,8
80,2
81,5
82,5
83,3
84,4
85,7
86,3
87,5
88,4
89,2
90,6
91,4
92,7
93,2
94,7
95,7
96,8
97,6
98,11
99,19
100,311
101,1
102,1
106,1
107,1
109,1
110,1
111,1
112,3
115,1
117,1
118,1
121,1
124,1
127,2
128,1
130,2
132,2
135,1
136,1
138,1
139,4
140,1
142,1
148,1
150,1
151,1
155,2
159,1
161,1
165,2
166,1
172,1
173,1
174,1
180,1
185,2
189,1
190,3
197,1
198,1
199,1
200,15
201,1
209,1
210,1
223,1
226,1
228,1
232,1
239,1
250,1
265,1
268,1
290,1
297,1
300,8
334,1
338,1
362,1
365,1
429,1
500,5
900,2
1220,1
