quantity,count
1,267
2,24
3,41
4,18
5,71
6,32
7,18
8,14
9,68
10,29
11,22
12,9
13,56
14,3
15,30
16,7
17,12
18,7
19,7
20,14
21,11
22,13
23,8
24,11
25,5
26,12
27,7
28,5
29,9
30,112
31,6
32,7
33,9
34,7
35,3
36,23
37,3
38,1
39,1
40,42
41,31
42,3
43,4
44,5
45,5
46,3
47,2
48,5
49,2
50,25
51,5
53,1
55,18
56,3
57,2
58,2
59,4
60,11
61,5
62,6
63,4
65,6
66,1
68,7
70,18
71,4
72,3
73,6
74,4
75,12
76,9
77,3
78,6
79,3
80,14
81,5
82,7
83,3
84,4
85,5
86,3
87,7
88,5
89,2
90,1
92,1
94,1
95,2
96,3
97,2
98,2
99,1
100,6938
102,1
104,3
105,3
107,1
108,1
110,1
111,2
113,1
114,1
115,4
117,1
120,125
122,1
124,2
125,1
126,3
133,2
135,3
138,3
139,2
140,1
141,2
143,1
147,2
148,1
150,5
156,1
162,2
164,1
169,2
170,2
173,1
178,1
180,1
189,1
192,1
195,1
197,1
198,3
200,421
211,1
216,1
220,1
225,1
226,1
230,1
238,2
240,2
245,2
250,4
251,1
252,1
285,1
286,15
287,2
299,1
300,203
305,1
312,1
322,1
330,2
335,1
350,2
360,1
375,1
381,7
388,1
392,17
400,101
409,1
420,18
430,1
436,1
440,1
450,1
473,5
475,1
481,1
500,58
520,1
521,1
549,1
570,1
580,1
599,1
600,3
630,1
700,9
750,1
772,1
800,13
900,18
931,1
948,1
985,1
992,1
996,2
1000,31
1100,45
1110,1
1341,1
1350,2
1428,1
1500,4
1648,1
2000,2
2500,3
2976,1
3000,1
3050,2
3882,1
4470,4
4500,1
4800,2
10700,2
