quantity,count
1,69
2,46
3,16
4,15
5,31
6,18
7,10
8,12
9,8
10,48
11,8
12,7
13,4
14,8
15,5
16,5
17,6
18,9
19,4
20,10
21,4
22,5
23,6
24,2
25,9
26,6
27,8
28,7
29,5
30,21
31,7
32,5
33,7
34,6
35,15
36,11
37,4
38,11
39,4
40,12
41,10
42,2
43,7
44,3
45,10
46,5
47,7
48,7
49,7
50,36
51,8
52,4
53,2
54,6
55,4
56,3
57,3
58,4
59,3
60,13
61,4
62,8
63,3
64,4
65,5
66,7
67,6
68,1
69,2
70,6
71,1
72,4
73,7
74,5
75,5
76,1
77,3
78,3
80,8
81,2
82,4
83,5
84,7
85,1
86,4
88,3
89,4
90,7
91,4
92,3
93,2
94,10
95,9
96,4
97,7
98,6
99,18
100,481
110,4
111,1
114,1
116,1
118,2
119,1
120,1
122,1
124,1
128,2
134,1
150,1
151,1
160,1
161,1
164,1
165,1
168,1
181,1
185,1
189,1
190,2
192,1
195,1
198,2
200,62
235,1
248,1
265,1
290,1
300,11
350,1
352,1
371,1
372,1
500,2
600,2
628,1
700,1
900,1
965,1
984,1
1000,1
1016,1
1057,1
1170,1
1300,1
1312,1
2000,1
