distance_ticks,count
0,13381
1,2995
2,2246
3,1958
4,1439
5,1166
6,922
7,722
8,683
9,526
10,628
11,528
12,317
13,279
14,223
15,175
16,123
17,124
18,101
19,136
20,120
21,68
22,60
23,81
24,114
25,97
26,98
27,199
28,317
29,492
30,526
31,474
32,354
33,304
34,279
35,323
36,251
37,244
38,206
39,153
40,99
41,97
42,125
43,87
44,58
45,40
46,50
47,41
48,26
49,28
50,28
51,27
52,25
53,26
54,23
55,31
56,16
57,15
58,15
59,23
60,37
61,26
62,20
63,18
64,17
65,18
66,14
67,12
68,11
69,12
70,9
71,5
72,6
73,3
74,14
75,8
76,17
77,3
78,3
79,4
80,13
81,10
82,11
83,4
84,4
85,2
86,2
88,2
89,6
90,3
91,3
92,5
93,8
94,6
96,4
97,4
98,2
99,4
100,4
101,2
102,2
103,1
104,2
105,9
106,5
108,1
109,3
110,2
111,2
112,1
113,4
114,2
115,2
116,4
120,7
121,1
122,3
123,2
124,1
127,3
129,2
132,1
133,1
137,1
141,1
143,2
144,3
145,1
146,1
147,3
148,3
149,1
151,1
152,1
154,5
155,2
156,3
158,2
159,2
160,5
161,4
162,2
164,2
165,1
167,2
170,2
172,1
174,1
176,4
177,4
179,2
180,3
181,1
182,1
183,1
185,1
186,2
187,3
188,2
189,1
191,6
192,2
193,1
194,2
195,1
196,1
198,1
199,1
200,2
201,1
202,1
203,1
207,1
208,3
209,7
210,1
211,5
212,6
213,8
214,4
215,8
216,2
217,10
218,26
219,27
220,61
221,77
222,255
223,331
224,234
225,87
226,70
227,36
228,46
229,40
230,80
231,99
232,165
233,252
234,279
235,242
236,74
237,48
238,45
239,89
240,141
241,231
242,381
243,583
244,354
245,144
246,78
247,55
248,29
249,22
250,16
251,14
252,21
253,8
254,7
255,5
256,4
257,3
258,6
259,4
260,1
262,1
264,2
267,2
270,2
271,1
272,1
275,2
280,2
288,2
297,1
298,3
299,1
304,3
305,2
306,1
310,3
312,3
313,4
314,2
315,1
317,5
319,2
320,4
321,5
322,3
323,1
324,4
325,3
326,1
333,2
334,1
337,1
340,1
343,1
350,1
351,2
353,1
355,4
357,4
359,1
360,1
362,1
363,2
365,1
366,2
367,1
369,1
370,8
371,3
372,2
373,2
374,3
375,2
383,2
384,2
386,1
388,1
389,1
390,2
393,1
395,2
398,1
400,1
402,1
404,2
405,3
407,1
409,2
412,1
413,1
414,1
416,3
419,1
420,5
422,1
430,2
432,2
434,1
443,2
445,2
446,3
447,1
448,1
450,1
452,9
453,1
462,2
463,1
464,3
465,1
466,2
467,1
468,1
469,4
470,5
474,1
475,1
476,3
480,1
481,2
483,2
484,3
485,2
486,1
488,2
498,3
499,1
500,1
501,1
502,2
503,5
505,1
506,2
507,3
508,2
509,2
510,1
511,1
512,3
513,1
515,3
516,1
520,10
523,1
526,3
528,4
532,4
533,1
536,1
540,1
545,1
549,4
566,3
568,1
572,2
577,3
590,1
592,38
595,1
598,3
602,1
610,1
611,1
616,1
619,1
620,1
623,38
624,1
625,2
630,1
632,1
635,5
636,38
637,3
638,8
639,3
640,13
641,13
642,12
643,6
644,7
645,5
646,10
647,5
648,5
649,8
650,2
651,41
652,9
653,9
654,9
655,7
656,12
657,7
658,21
659,24
660,30
661,34
662,39
663,58
664,99
665,114
666,188
667,287
668,439
669,309
670,132
671,94
672,78
673,43
674,21
675,21
676,8
677,12
678,7
679,6
681,1
682,6
683,2
684,1
687,1
690,1
692,1
695,1
696,1
700,1
710,2
715,37
716,1
717,1
718,1
721,2
722,1
728,1
732,2
743,1
744,1
756,4
761,1
766,1
768,3
770,1
772,2
774,1
775,1
777,1
792,1
815,2
819,1
820,1
827,1
832,1
840,1
842,1
848,1
853,1
858,1
864,1
866,1
868,1
869,1
872,2
876,2
904,2
905,2
906,1
907,1
910,2
916,1
922,1
932,9
934,1
949,1
953,1
954,1
958,1
966,3
967,1
970,2
972,9
976,1
982,1
983,1
988,1
989,1
990,1
1012,1
1016,1
1024,1
1026,1
1027,1
1029,1
1045,1
1057,1
1063,1
1065,1
1066,1
1068,2
1071,1
1072,1
1077,1
1082,1
1083,1
1098,1
1131,1
1132,1
1147,1
1149,1
1156,1
1157,1
1165,2
1166,5
1167,1
1172,3
1189,2
1190,1
1196,1
1197,1
1202,8
1207,1
1222,2
1227,1
1231,1
1232,2
1233,1
1246,1
1247,1
1258,1
1259,1
1266,4
1272,2
1299,2
1307,1
1310,1
1324,1
1332,1
1334,1
1340,1
1362,1
1364,1
1366,3
1370,3
1372,1
1376,1
1399,1
1406,1
1410,1
1412,1
1414,1
1416,1
1419,1
1420,1
1421,1
1432,4
1442,1
1444,1
1456,1
1457,1
1465,2
1466,7
1470,1
1472,1
1481,1
1485,1
1486,37
1491,1
1499,2
1508,1
1510,1
1512,3
1534,2
1535,26
1547,1
1556,1
1562,5
1568,1
1570,1
1571,6
1578,1
1583,38
1589,2
1595,1
1598,1
1613,1
1621,2
1622,2
1623,4
1624,34
1636,1
1647,1
1665,1
1666,1
1667,1
1670,1
1672,3
1673,1
1677,1
1687,1
1705,1
1710,1
1716,1
1732,1
1744,2
1766,5
1770,1
1773,1
1774,37
1778,1
1780,1
1781,1
1782,1
1783,5
1832,1
1857,1
1862,1
1866,1
1870,1
1906,1
1914,1
1915,1
1922,1
1926,1
1966,1
2007,1
2073,1
2078,1
2099,1
2101,1
2108,1
2125,1
2140,1
2170,2
2182,1
2192,1
2203,1
2216,1
2225,1
2347,2
2368,1
2378,1
2398,1
2416,1
2425,1
2429,1
2432,1
2458,1
2466,3
2525,1
2555,1
2597,1
2708,1
2740,1
2774,1
2792,1
2880,1
3040,1
3138,1
3170,1
3214,1
4295,1
7914,1
7915,1
8072,1
8916,1
