distance_ticks,count
0,730
1,465
2,205
3,182
4,152
5,99
6,185
7,223
8,122
9,71
10,88
11,63
12,36
13,34
14,30
15,24
16,38
17,26
18,11
19,13
20,15
21,9
22,5
23,7
24,10
25,20
26,23
27,30
28,37
29,49
30,51
31,53
32,19
33,24
34,31
35,45
36,37
37,44
38,7
39,12
40,6
41,8
42,4
43,3
44,5
45,2
46,5
47,8
48,4
49,3
50,1
51,3
52,3
53,3
54,4
55,3
56,3
57,6
58,8
59,1
60,2
61,2
62,1
63,1
64,1
65,3
66,5
67,8
68,8
69,2
70,11
71,7
72,2
73,4
74,3
75,6
76,5
77,5
78,8
79,11
80,2
81,2
82,7
83,6
84,4
85,8
86,13
87,24
88,24
89,30
90,10
91,3
92,7
93,4
94,7
95,5
96,7
97,1
98,1
99,2
100,2
101,1
102,1
104,1
106,2
108,1
111,1
112,1
113,1
114,4
116,1
117,2
118,1
119,2
120,3
122,2
124,1
125,1
127,1
129,1
131,1
135,3
136,1
138,4
139,2
142,2
144,2
146,1
147,2
148,1
149,1
151,1
153,3
154,1
156,1
157,3
160,1
164,1
166,1
167,1
168,1
171,1
172,2
173,2
175,1
179,1
180,1
182,1
184,2
189,1
191,2
192,3
206,2
207,1
216,1
224,2
228,1
235,3
245,2
254,1
255,3
259,4
263,1
270,1
272,2
274,1
276,1
277,3
278,1
283,2
284,18
287,1
290,18
291,2
292,14
294,2
295,7
297,14
298,9
299,1
300,12
301,1
304,1
306,3
308,4
312,3
313,3
319,1
320,1
324,2
327,19
332,19
333,19
334,4
337,2
339,19
341,1
342,19
344,2
346,20
375,3
377,2
385,2
386,1
407,1
412,2
418,1
419,2
440,3
479,3
587,2
630,3
9998975,1
9999023,1
