quantity,count
1,454
2,363
3,208
4,150
5,103
6,80
7,47
8,40
9,76
10,124
11,44
12,49
13,37
14,31
15,43
16,35
17,30
18,27
19,27
20,127
21,28
22,33
23,36
24,25
25,36
26,87
27,30
28,29
29,26
30,36
31,18
32,26
33,19
34,39
35,18
36,18
37,226
38,37
39,21
40,32
41,16
42,15
43,23
44,15
45,12
46,13
47,8
48,29
49,53
50,58
51,21
52,27
53,5
54,11
55,14
56,19
57,12
58,13
59,11
60,29
61,9
62,9
63,31
64,9
65,11
66,17
67,8
68,14
69,14
70,22
71,14
72,14
73,13
74,79
75,22
76,16
77,8
78,9
79,11
80,21
81,13
82,10
83,4
84,7
85,15
86,9
87,15
88,6
89,14
90,25
91,17
92,9
93,5
94,17
95,17
96,26
97,33
98,54
99,47
100,1549
101,1
103,2
105,1
107,2
108,1
109,1
110,2
111,4
112,5
113,2
114,2
115,3
116,2
118,1
121,2
122,1
123,2
125,2
126,2
129,1
130,1
133,2
134,1
135,1
138,1
140,1
144,1
145,1
146,1
148,5
149,2
150,6
152,1
154,2
155,1
159,1
162,1
167,1
168,1
170,1
171,1
172,3
173,1
174,1
176,1
177,1
178,1
179,1
180,1
182,1
183,1
187,1
189,2
190,1
197,2
198,2
199,1
200,76
210,1
220,1
225,1
230,1
233,1
241,1
246,1
247,1
250,1
254,1
255,1
257,1
259,1
261,1
263,1
274,2
292,1
297,1
300,18
313,1
315,1
317,1
318,1
320,1
324,1
326,1
334,1
344,1
350,1
352,1
353,1
376,1
390,1
391,1
400,13
401,2
404,1
410,1
413,1
429,1
466,1
496,1
497,1
499,1
500,19
594,1
608,1
1128,1
1299,1
1452,1
1600,1
2100,1
