distance_ticks,count
0,9736
1,7526
2,2310
3,1218
4,994
5,856
6,768
7,730
8,563
9,547
10,492
11,418
12,365
13,348
14,302
15,268
16,322
17,242
18,220
19,165
20,149
21,177
22,157
23,149
24,172
25,156
26,167
27,176
28,159
29,130
30,153
31,147
32,144
33,123
34,126
35,102
36,115
37,119
38,138
39,149
40,159
41,115
42,140
43,111
44,100
45,96
46,89
47,78
48,70
49,75
50,74
51,86
52,51
53,53
54,56
55,47
56,48
57,43
58,49
59,53
60,40
61,49
62,44
63,72
64,93
65,115
66,172
67,202
68,265
69,262
70,236
71,267
72,203
73,192
74,208
75,249
76,341
77,332
78,222
79,135
80,110
81,87
82,88
83,98
84,87
85,81
86,77
87,92
88,121
89,128
90,122
91,82
92,55
93,48
94,48
95,42
96,47
97,51
98,30
99,26
100,27
101,41
102,32
103,24
104,23
105,28
106,24
107,26
108,29
109,21
110,23
111,18
112,22
113,20
114,19
115,12
116,16
117,15
118,12
119,14
120,13
121,15
122,9
123,10
124,11
125,17
126,13
127,16
128,5
129,10
130,12
131,6
132,5
133,9
134,9
135,6
136,9
137,5
138,8
139,5
140,9
141,5
142,12
143,15
144,5
145,3
146,7
147,7
148,4
149,7
150,4
151,5
152,2
153,4
154,10
155,4
156,6
157,7
158,5
159,4
160,4
161,3
162,2
163,2
164,1
165,2
166,4
167,3
168,2
169,5
170,3
171,7
172,3
173,4
174,2
175,1
177,2
178,2
179,4
180,1
182,2
183,5
184,3
185,1
186,2
188,2
189,2
190,1
191,3
193,1
194,5
195,2
196,1
197,2
198,2
199,2
200,2
201,2
202,3
203,1
204,2
205,1
206,3
207,1
208,1
210,2
211,1
212,1
218,2
221,1
223,1
226,2
228,1
230,1
232,1
233,1
234,1
235,2
240,1
241,1
242,1
243,1
245,1
247,1
248,2
253,1
254,2
255,2
257,1
259,1
261,2
263,1
264,1
265,1
266,1
267,1
270,2
272,1
273,2
274,3
275,2
276,3
277,1
278,3
279,3
280,4
281,4
282,4
283,2
284,2
285,3
286,7
287,9
288,7
289,8
290,8
291,19
292,4
293,3
294,10
295,11
296,4
297,6
298,9
299,12
300,16
301,24
302,17
303,18
304,18
305,18
306,22
307,27
308,22
309,31
310,33
311,42
312,47
313,59
314,76
315,101
316,162
317,219
318,283
319,345
320,418
321,383
322,257
323,151
324,106
325,94
326,81
327,89
328,88
329,99
330,97
331,67
332,43
333,47
334,27
335,34
336,39
337,51
338,77
339,166
340,324
341,463
342,388
343,172
344,126
345,96
346,56
347,28
348,36
349,32
350,30
351,23
352,17
353,15
354,7
355,17
356,13
357,17
358,10
359,13
360,14
361,8
362,12
363,7
364,15
365,26
366,50
367,71
368,109
369,163
370,190
371,156
372,94
373,78
374,78
375,78
376,65
377,71
378,67
379,99
380,98
381,95
382,73
383,68
384,35
385,26
386,22
387,14
388,5
389,7
390,7
391,4
392,1
393,3
394,4
395,4
396,2
398,1
399,1
404,3
405,1
406,1
407,1
409,1
410,2
414,1
415,1
418,1
423,1
429,1
437,1
443,1
444,1
470,1
471,1
478,1
493,2
500,1
501,1
519,3
521,1
524,1
527,1
530,1
531,1
533,1
543,2
551,1
577,1
600,1
609,3
613,1
625,1
627,2
629,1
633,2
634,1
651,1
669,2
671,1
672,1
678,1
693,1
694,3
697,1
716,1
733,1
734,3
736,1
738,1
741,1
745,1
747,1
748,1
750,1
755,1
759,1
760,1
761,1
765,2
769,1
770,1
782,2
788,1
802,1
812,1
829,1
832,1
836,1
843,2
844,2
855,2
867,2
873,1
874,1
875,2
877,1
882,1
893,3
902,1
903,1
906,1
923,1
927,1
942,1
947,1
976,1
978,1
979,2
981,2
982,1
984,2
985,1
986,2
987,7
988,1
989,1
990,1
991,5
992,2
994,1
997,2
998,1
999,5
1000,4
1001,1
1002,6
1003,10
1004,6
1005,7
1006,8
1007,12
1008,10
1009,4
1010,5
1011,14
1012,20
1013,50
1014,66
1015,100
1016,93
1017,59
1018,72
1019,73
1020,85
1021,78
1022,94
1023,132
1024,99
1025,58
1026,80
1027,80
1028,104
1029,99
1030,68
1031,77
1032,62
1033,42
1034,28
1035,19
1036,12
1037,10
1038,6
1039,5
1040,8
1041,3
1042,2
1043,3
1044,1
1045,1
1047,2
1048,3
1049,3
1050,1
1051,2
1052,1
1053,2
1054,1
1055,1
1057,3
1058,4
1060,1
1061,1
1063,3
1065,1
1066,1
1073,1
1088,1
1094,1
1095,3
1099,2
1100,1
1103,1
1119,1
1121,1
1132,1
1151,1
1165,4
1175,1
1180,1
1196,1
1204,1
1205,1
1219,1
1222,1
1223,3
1227,1
1231,1
1271,1
1290,1
1291,2
1304,1
1322,3
1334,3
1365,1
1376,1
1380,1
1382,1
1391,1
1450,1
1478,1
1502,3
1514,1
1578,1
1601,3
1633,1
1634,2
1644,3
1657,1
1665,1
1681,1
1684,3
1690,1
1710,1
1802,1
1840,1
1879,1
1908,1
1943,3
2033,1
2055,1
2082,1
2182,2
2235,1
2251,3
2261,1
2264,1
2265,4
2266,1
2269,1
2270,1
2271,1
2281,1
2583,1
2600,1
2700,1
2729,1
2735,1
2736,1
2738,1
2739,2
2740,1
2743,2
2750,1
2773,5
2907,3
2910,1
2922,3
2988,1
3101,1
3147,3
3182,1
3184,1
3205,2
3270,1
3355,1
3380,3
3404,1
3432,3
3458,8
3620,1
3666,31
3682,2
3714,3
3782,8
4043,29
5600,1
10499,1
10889,1
