quantity,count
1,50
2,21
3,10
4,8
5,3
6,7
7,10
8,10
9,9
10,16
11,10
12,3
13,1
14,1
15,11
16,3
17,9
18,7
19,10
20,13
21,3
22,7
23,2
24,1
25,7
26,6
27,2
28,2
29,5
30,1
32,5
33,3
34,5
35,2
36,4
37,2
38,8
39,3
40,13
41,3
43,2
47,3
48,3
49,2
50,12
51,2
52,2
53,3
54,2
56,1
57,1
58,1
59,4
60,10
61,2
62,6
63,1
64,3
65,3
66,4
67,2
68,1
70,1
71,2
72,2
73,1
74,1
75,1
76,2
78,3
79,1
80,5
81,4
82,3
83,4
84,1
85,6
86,2
87,3
88,1
89,2
90,2
91,3
92,3
93,3
94,3
95,4
97,5
98,1
99,7
100,794
101,1
102,1
103,2
104,1
105,3
109,2
110,1
113,1
114,1
115,1
116,2
120,3
121,1
124,1
129,1
132,1
137,2
138,1
141,1
150,1
151,3
152,1
153,1
159,1
160,1
163,1
171,2
176,1
178,2
179,1
180,1
181,1
183,1
190,1
191,1
192,1
195,1
197,1
198,1
200,143
201,1
205,1
213,1
219,1
221,1
226,1
234,1
236,1
237,1
240,1
247,3
248,1
250,1
254,1
257,1
261,1
266,1
274,3
279,1
281,1
282,1
287,1
288,1
297,1
300,59
305,1
307,1
310,1
312,1
320,1
326,1
329,2
333,1
339,1
340,1
341,1
342,1
368,1
381,1
388,1
390,1
400,34
406,1
409,1
410,2
420,2
430,2
438,1
442,1
443,1
452,1
460,1
467,2
500,37
568,1
600,24
658,1
700,11
734,1
800,13
862,1
889,1
892,1
900,5
940,1
1000,10
1100,2
1132,1
1157,1
1160,1
1200,3
1300,3
1342,1
1400,2
1500,1
1517,1
1600,1
2000,1
2300,1
2580,1
3800,1
4990,1
