distance_ticks,count
0,14205
1,3164
2,1334
3,783
4,439
5,399
6,355
7,292
8,359
9,276
10,201
11,131
12,131
13,128
14,111
15,79
16,78
17,87
18,90
19,54
20,86
21,72
22,51
23,66
24,33
25,33
26,34
27,36
28,19
29,20
30,24
31,21
32,19
33,26
34,16
35,19
36,9
37,6
38,11
39,9
40,8
41,10
42,5
43,8
44,10
45,3
46,8
47,7
48,7
49,4
50,7
51,9
52,5
53,9
54,5
55,10
56,4
57,9
58,12
59,11
60,11
61,22
62,65
63,70
64,277
65,541
66,399
67,178
68,83
69,200
70,460
71,187
72,88
73,41
74,24
75,15
76,14
77,16
78,23
79,31
80,39
81,72
82,122
83,374
84,219
85,107
86,48
87,23
88,16
89,7
90,8
91,8
92,8
93,9
94,5
95,8
96,7
97,4
98,4
99,1
100,3
101,4
102,3
103,3
104,5
105,2
106,5
107,4
108,8
109,6
110,4
111,1
112,3
113,2
114,1
115,1
116,1
117,1
118,1
119,2
120,2
122,1
124,1
125,2
126,1
127,3
128,2
129,6
130,1
131,2
132,1
133,1
134,2
135,4
136,4
137,4
138,2
139,2
140,4
141,2
142,5
143,1
144,1
145,2
146,2
147,2
148,5
149,8
150,4
151,4
152,5
153,4
154,2
155,2
156,1
157,3
158,1
159,3
160,6
161,5
162,10
163,10
164,10
165,8
166,18
167,16
168,16
169,13
170,26
171,79
172,184
173,246
174,107
175,34
176,16
177,5
178,2
179,6
180,3
181,3
183,1
184,1
185,1
189,1
191,5
192,4
193,1
205,1
206,1
207,1
213,4
214,4
215,1
216,1
217,3
218,1
222,1
226,1
227,1
228,5
229,1
231,1
232,3
233,3
236,1
238,4
240,1
242,1
244,2
261,1
265,1
273,1
274,2
275,1
277,1
278,1
282,1
283,1
289,3
290,1
294,1
295,2
302,2
304,2
305,1
308,1
311,1
313,1
317,1
323,1
325,1
329,4
335,1
361,4
365,2
371,1
374,1
377,2
379,2
397,1
400,1
425,1
428,1
429,1
431,1
436,1
456,1
472,1
474,2
483,1
485,1
487,1
497,1
509,1
525,2
529,2
530,3
534,3
555,1
561,2
564,1
572,3
573,3
574,1
576,1
577,2
578,1
581,3
583,3
586,1
588,1
591,2
592,2
594,31
598,33
599,1
608,1
612,1
613,1
619,1
625,2
626,1
629,3
635,34
636,2
637,33
642,34
645,2
647,32
651,34
654,32
655,1
660,1
661,2
662,2
663,32
666,1
667,3
674,1
675,1
676,1
686,2
699,2
704,2
728,2
730,1
742,1
747,2
760,1
766,33
770,26
804,7
811,1
823,1
860,1
877,2
885,1
935,1
1029,1
1129,1
1261,1
1629,1
1752,1
2225,1
