quantity,count
1,736
2,311
3,161
4,168
5,115
6,70
7,75
8,62
9,76
10,131
11,54
12,78
13,61
14,48
15,60
16,64
17,46
18,47
19,45
20,57
21,41
22,42
23,46
24,41
25,68
26,62
27,28
28,39
29,33
30,44
31,29
32,31
33,34
34,30
35,40
36,61
37,169
38,29
39,30
40,42
41,20
42,26
43,18
44,40
45,30
46,26
47,32
48,44
49,35
50,58
51,26
52,35
53,32
54,28
55,28
56,40
57,17
58,31
59,23
60,38
61,27
62,29
63,68
64,40
65,29
66,32
67,21
68,24
69,22
70,22
71,22
72,28
73,19
74,39
75,52
76,23
77,21
78,20
79,24
80,28
81,15
82,19
83,23
84,24
85,17
86,14
87,25
88,32
89,22
90,38
91,28
92,34
93,20
94,21
95,36
96,52
97,31
98,60
99,83
100,3904
101,3
102,9
103,1
104,3
105,4
106,5
107,6
109,3
110,9
111,6
112,13
113,7
115,3
116,5
117,2
118,1
119,3
120,10
121,4
122,4
124,2
125,2
126,3
127,3
128,5
129,5
130,2
131,6
132,6
133,6
134,2
135,1
136,2
138,1
139,4
140,1
141,1
142,3
143,3
144,2
145,4
146,4
147,2
148,6
149,18
150,7
151,2
152,4
153,3
154,1
155,6
156,3
158,4
159,5
160,5
161,3
163,2
164,4
165,4
167,2
169,2
170,1
171,1
173,3
174,2
175,1
176,2
177,3
178,2
179,1
180,4
181,3
182,1
183,4
184,3
185,4
186,4
187,1
188,2
189,2
190,3
191,3
192,3
193,3
194,1
195,2
196,5
197,4
198,6
199,4
200,238
203,1
205,1
209,1
210,2
216,1
218,1
219,1
220,1
222,2
225,1
227,1
228,2
230,1
232,2
236,1
237,1
241,1
246,1
247,1
249,1
250,3
252,1
258,1
262,2
266,1
272,1
273,1
274,2
276,1
278,1
282,1
286,1
287,1
288,2
294,1
296,2
300,54
306,2
309,1
313,1
333,1
338,1
342,1
350,1
353,2
372,1
391,1
399,1
400,22
401,1
404,1
410,1
426,1
459,1
472,1
483,1
492,1
499,2
500,15
513,1
527,1
590,1
599,1
600,7
700,4
734,1
780,1
800,1
1854,1
2405,1
6849,1
