quantity,count
1,561
2,94
3,55
4,92
5,125
6,33
7,27
8,58
9,9
10,118
11,4
12,7
13,5
14,1
15,85
16,16
17,6
18,37
19,1
20,37
21,13
22,12
23,6
24,16
25,89
26,20
27,10
28,31
29,34
30,972
31,5
32,6
33,5
34,10
35,11
36,36
37,1
38,8
39,1
40,32
41,1
42,18
43,25
44,5
45,11
46,6
47,21
48,12
49,18
50,98
51,7
52,8
53,19
54,3
55,6
56,8
57,7
58,9
59,2
60,30
62,3
63,7
64,2
65,6
66,3
67,11
68,5
69,2
70,15
71,70
72,6
73,8
74,1
75,7
77,2
78,4
79,4
80,24
81,2
83,2
84,3
85,1
86,1
87,3
88,8
90,4
91,1
92,1
95,1
96,1
97,5
98,3
99,26
100,45032
101,1
102,3
103,1
104,4
105,10
106,1
107,6
108,3
109,4
110,2
113,7
117,6
118,2
120,2
122,4
125,2
129,1
130,2
132,1
134,1
135,1
139,1
141,2
144,2
146,2
149,2
150,40
154,2
155,1
156,1
160,1
167,1
171,2
172,1
173,1
175,1
180,3
183,22
190,1
196,1
197,59
199,1
200,2550
203,1
206,2
209,1
210,1
211,1
212,1
225,2
232,1
235,1
240,3
247,1
250,26
255,1
257,19
260,2
270,1
274,1
275,4
277,9
278,3
279,1
287,1
294,1
296,1
297,3
300,7984
302,2
303,1
304,1
312,2
320,2
322,2
332,2
340,1
341,1
349,1
350,8
360,2
371,3
372,2
377,1
379,2
387,1
395,1
396,1
400,500
410,1
415,1
428,2
450,1
496,1
500,1851
501,1
504,2
596,2
599,1
600,3419
637,1
700,2357
750,2
754,1
796,2
800,14
900,908
1000,181
1100,5
1140,1
1200,48
1400,40
1500,3
1530,1
1700,3
1800,165
2000,9
2100,14
2200,1
2222,1
2400,12
2800,4
3000,2
3941,1
