distance_ticks,count
0,35991
1,8554
2,4979
3,3217
4,2174
5,1892
6,2270
7,2128
8,1356
9,1042
10,724
11,635
12,574
13,303
14,291
15,260
16,279
17,299
18,304
19,259
20,197
21,108
22,106
23,138
24,197
25,615
26,379
27,295
28,497
29,972
30,754
31,438
32,206
33,141
34,103
35,101
36,182
37,170
38,123
39,86
40,104
41,61
42,50
43,28
44,29
45,20
46,18
47,19
48,41
49,83
50,76
51,27
52,19
53,7
54,10
55,12
56,10
57,6
58,11
59,9
60,13
61,13
62,19
63,19
64,12
65,19
66,54
67,150
68,464
69,304
70,94
71,26
72,14
73,4
74,14
75,5
76,9
77,3
78,4
79,6
80,9
81,28
82,29
83,76
84,130
85,255
86,506
87,717
88,337
89,209
90,151
91,58
92,26
93,7
94,14
95,22
96,44
97,338
98,702
99,396
100,79
101,23
102,10
103,7
104,2
105,2
106,1
107,1
108,3
109,6
110,7
111,7
112,6
113,9
114,8
115,15
116,17
117,21
118,36
119,70
120,96
121,203
122,446
123,1065
124,1627
125,1002
126,605
127,123
128,89
129,45
130,17
131,21
132,19
133,14
134,8
135,4
136,3
137,1
138,1
139,1
140,1
141,3
142,2
144,1
145,1
146,1
147,2
149,1
150,2
154,1
157,1
158,3
160,4
162,1
163,1
164,1
166,2
167,3
169,2
171,2
172,1
174,1
176,4
177,2
178,3
182,2
183,1
184,2
185,1
186,2
189,1
190,1
191,1
199,2
201,1
202,4
204,6
205,2
206,3
208,3
210,4
211,2
212,1
215,1
216,1
221,3
223,1
225,3
226,4
228,5
229,4
231,3
232,1
233,1
234,1
241,1
251,1
257,1
259,1
260,4
261,1
262,5
263,7
265,4
266,2
267,4
268,3
269,6
270,7
271,13
272,30
273,64
274,129
275,267
276,319
277,292
278,236
279,329
280,293
281,143
282,67
283,52
284,38
285,26
286,14
287,10
288,1
289,1
290,4
291,5
294,1
295,1
297,2
298,4
300,1
301,1
305,2
306,1
327,1
328,1
332,1
334,1
346,1
347,1
351,1
357,1
359,1
367,1
369,4
371,1
372,1
375,1
376,1
377,3
382,1
384,1
385,1
390,1
391,2
392,4
393,8
394,4
395,1
397,1
398,2
403,3
404,8
405,11
406,6
407,6
408,1
416,1
420,1
424,1
426,1
428,3
431,1
434,1
441,1
442,3
464,1
466,2
468,1
476,1
479,1
480,1
482,5
485,1
488,1
492,1
502,1
507,2
509,1
511,1
520,1
521,3
524,1
525,1
556,1
567,1
568,3
569,1
576,1
581,1
582,2
601,1
607,1
614,1
621,1
627,14
628,9
629,13
632,1
633,2
634,8
636,8
637,1
638,8
639,1
647,1
648,1
650,1
656,2
676,1
682,1
688,6
716,3
728,3
738,1
739,1
740,1
741,1
746,2
747,4
748,5
752,3
762,1
771,2
773,1
776,3
782,1
789,1
792,13
793,17
794,1
795,1
796,2
798,1
799,2
802,11
803,21
805,5
806,1
812,13
813,16
814,2
815,4
820,10
822,4
823,16
824,2
825,8
826,12
830,4
831,9
832,6
833,15
834,6
838,11
839,4
844,2
848,1
856,2
888,1
889,2
891,1
897,18
899,1
901,3
902,2
903,1
909,1
922,1
924,3
928,1
939,3
948,1
982,2
998,1
1012,2
1020,1
1022,19
1023,1
1025,6
1026,3
1032,6
1035,24
1037,19
1041,7
1044,3
1045,3
1046,1
1047,4
1048,19
1050,3
1052,2
1118,6
1132,6
1133,1
1138,18
1140,4
1188,2
1381,1
1593,1
1747,1
1776,1
1782,1
1783,1
1871,1
1905,1
2305,1
2588,1
2664,1
3094,1
4177,1
19997124,2
19997125,11
19997128,2
