quantity,count
1,2377
2,937
3,564
4,548
5,601
6,246
7,235
8,212
9,153
10,675
11,210
12,161
13,116
14,177
15,252
16,102
17,116
18,137
19,149
20,233
21,73
22,84
23,88
24,108
25,206
26,154
27,89
28,122
29,124
30,197
31,68
32,74
33,55
34,60
35,71
36,57
37,170
38,48
39,49
40,112
41,65
42,63
43,38
44,72
45,67
46,46
47,43
48,54
49,79
50,224
51,58
52,42
53,45
54,44
55,67
56,46
57,39
58,52
59,44
60,76
61,40
62,36
63,48
64,48
65,43
66,30
67,42
68,44
69,48
70,85
71,40
72,59
73,55
74,105
75,96
76,48
77,46
78,31
79,40
80,82
81,47
82,48
83,37
84,41
85,69
86,44
87,46
88,46
89,58
90,97
91,28
92,37
93,60
94,61
95,94
96,110
97,86
98,110
99,170
100,5045
101,3
102,2
103,3
104,6
105,2
106,1
107,2
108,1
109,2
110,4
111,5
112,3
113,4
114,2
115,3
116,2
117,1
119,1
120,5
121,2
122,4
123,1
124,2
125,1
126,9
127,2
129,7
131,1
132,3
133,4
135,2
136,4
137,2
138,1
139,2
140,5
141,1
143,3
144,4
145,2
146,1
148,1
149,3
150,3
152,1
153,1
154,2
155,2
156,2
158,1
160,3
161,1
163,3
164,2
165,1
166,2
167,2
170,2
173,2
174,6
175,1
176,2
178,1
179,1
180,1
181,1
182,1
183,1
184,3
185,2
186,3
188,2
190,1
193,1
194,1
195,4
196,2
197,1
199,6
200,146
201,1
208,1
212,2
214,1
216,1
217,1
220,2
225,2
227,1
230,1
233,1
236,1
240,1
244,1
245,1
250,2
251,1
254,1
255,1
263,1
264,1
268,1
269,1
270,1
271,1
273,1
274,1
275,2
277,1
280,2
287,1
288,2
290,1
291,1
296,1
298,2
300,21
301,1
310,1
313,1
320,1
322,3
340,1
348,1
350,1
380,1
381,3
384,1
387,1
392,2
400,12
431,1
447,1
450,2
459,1
461,1
475,1
490,1
495,1
500,11
543,1
559,1
563,1
566,1
580,1
594,1
596,1
600,5
617,1
698,1
700,2
710,1
747,1
753,1
776,1
788,1
800,2
849,1
850,1
900,6
933,1
1000,6
1150,1
1200,2
1306,1
1400,1
1420,1
1521,1
1567,1
1732,1
1800,1
1895,1
2080,1
2720,1
3077,1
