quantity,count
1,278
2,114
3,30
4,35
5,33
6,55
7,37
8,9
9,15
10,85
11,14
12,4
13,6
14,19
15,146
16,16
17,6
18,16
19,7
20,18
21,9
22,40
23,6
24,15
25,21
26,22
27,43
28,18
29,42
30,1337
31,10
32,3
33,3
34,5
35,14
36,7
37,4
38,1
39,1
40,47
41,4
42,2
43,4
44,5
45,6
46,3
47,13
48,2
49,9
50,62
51,9
52,7
53,5
54,13
55,7
56,2
57,2
58,6
59,2
60,74
61,1
62,4
63,8
64,19
65,3
66,2
67,3
68,2
69,15
70,5
71,4
72,24
73,3
74,10
75,55
76,3
77,3
78,7
79,2
80,3
81,7
82,1
83,1
84,2
85,4
87,36
88,9
89,6
90,17
91,2
92,9
93,6
94,1
95,10
96,15
97,11
98,5
99,15
100,16094
101,49
102,1
103,3
104,1
105,1
107,2
108,1
110,2
111,1
113,3
114,1
115,3
117,9
118,2
119,1
120,2
121,2
122,4
123,8
124,3
126,4
127,1
128,1
130,1
131,1
132,2
133,3
134,1
136,3
138,4
139,3
141,8
148,2
149,1
150,4
152,9
153,2
154,1
155,1
159,4
160,1
164,3
166,13
169,3
173,41
177,1
178,10
181,16
183,1
186,1
187,2
188,1
190,1
192,3
194,41
196,1
197,2
198,1
199,4
200,10660
203,1
204,1
206,2
207,1
208,1
209,1
210,1
215,1
217,2
221,38
226,1
232,2
239,1
240,1
242,81
250,3
260,1
271,1
275,2
280,1
293,1
294,1
300,1599
311,1
333,1
350,1
354,1
361,2
387,1
389,1
396,55
399,29
400,896
402,1
409,29
424,1
438,11
454,1
455,11
460,30
500,263
505,2
532,2
550,1
600,114
643,1
689,2
700,228
795,1
800,49
801,4
810,1
812,2
900,20
922,1
975,1
979,1
1000,1783
1095,2
1099,1
1100,43
1200,63
1300,3
1400,55
1500,2590
1700,2
1800,18
1856,1
1900,1
2000,21
2100,1
2200,8
2400,3
2500,7390
2600,5
2743,1
2900,1
2905,1
3000,935
3400,2
3500,1
3600,1
5000,2
5400,1
7400,1
10900,1
