quantity,count
1,13
2,2
3,2
4,2
5,6
6,1
7,1
8,1
10,10
11,3
12,2
13,1
15,10
16,1
17,3
20,3
21,1
22,1
23,3
24,1
30,6
35,2
40,1
43,1
45,1
46,1
50,6
59,1
61,1
62,1
65,1
67,1
73,2
76,1
94,1
99,1
100,2073
101,1
121,1
133,1
135,1
136,1
150,2
151,1
170,1
175,1
187,1
200,106
206,1
212,1
235,1
245,1
249,1
250,1
273,1
300,38
400,1
415,1
470,1
499,1
500,11
650,1
700,15
807,1
900,72
1000,29
1100,20
1200,2
1400,1
1821,1
1900,1
2000,2
2045,1
2054,1
2276,1
2500,1
2676,1
3000,1
3113,1
4000,1
4751,1
5200,1
5405,2
5600,1
6000,1
10000,1
