distance_ticks,count
0,34094
1,2714
2,1362
3,1189
4,986
5,957
6,973
7,732
8,674
9,524
10,661
11,459
12,408
13,479
14,522
15,689
16,686
17,799
18,492
19,653
20,460
21,551
22,605
23,435
24,421
25,351
26,266
27,243
28,231
29,184
30,180
31,186
32,222
33,183
34,110
35,129
36,114
37,127
38,153
39,125
40,88
41,103
42,72
43,61
44,76
45,75
46,71
47,63
48,79
49,65
50,57
51,59
52,58
53,60
54,53
55,36
56,40
57,49
58,60
59,47
60,41
61,33
62,36
63,55
64,53
65,24
66,23
67,22
68,27
69,21
70,17
71,14
72,15
73,18
74,22
75,30
76,60
77,25
78,34
79,20
80,11
81,7
82,15
83,6
84,8
85,7
86,7
87,12
88,2
89,7
90,7
91,5
92,8
93,9
94,11
95,2
96,5
97,4
98,7
99,5
100,8
101,9
102,8
103,7
104,5
105,8
106,10
107,2
108,7
109,10
110,10
111,21
112,6
113,7
114,9
115,3
116,10
117,14
118,7
119,8
120,1
121,10
122,7
123,11
124,5
125,5
127,6
128,3
129,5
130,13
131,8
132,6
133,8
134,9
135,9
136,11
137,4
138,6
139,9
140,3
141,2
142,3
143,6
144,6
145,4
146,3
147,7
148,6
149,13
150,11
151,9
152,6
153,6
154,5
155,2
156,8
157,3
158,10
159,8
160,5
161,6
162,5
163,5
164,3
165,5
166,6
167,4
168,2
170,5
171,3
172,2
173,1
176,1
177,1
178,3
179,1
180,2
181,3
183,2
184,1
185,1
186,2
187,3
188,1
189,2
192,1
193,2
194,1
195,4
197,1
198,2
199,1
200,4
201,2
203,1
204,1
205,3
206,4
207,2
212,3
214,1
216,1
218,1
219,3
220,2
222,1
226,1
228,1
233,1
234,3
236,1
237,1
238,1
239,1
240,1
243,2
244,2
246,2
248,3
250,3
253,1
254,2
256,1
258,1
259,2
261,3
262,2
264,2
265,1
266,2
267,4
268,1
269,1
270,4
271,1
273,1
274,2
276,2
278,1
279,1
285,1
287,1
289,2
291,1
293,2
294,3
295,1
296,1
297,3
298,1
300,13
303,2
304,2
305,1
307,4
308,1
311,2
314,2
315,2
316,2
317,3
318,4
319,1
320,1
321,1
322,1
323,3
324,2
325,1
326,1
328,3
329,1
330,2
331,3
332,2
333,1
334,5
335,2
336,2
337,3
339,3
340,8
341,5
342,5
343,1
344,5
346,2
348,9
349,5
350,5
351,4
352,8
353,2
354,6
355,9
356,5
357,6
358,12
359,18
360,17
361,23
362,31
363,82
364,142
365,258
366,217
367,165
368,135
369,264
370,158
371,63
372,27
373,29
374,13
375,20
376,11
377,21
378,21
379,16
380,9
381,7
382,13
383,28
384,30
385,39
386,22
387,35
388,44
389,38
390,42
391,57
392,65
393,69
394,96
395,94
396,121
397,222
398,283
399,247
400,357
401,566
402,648
403,733
404,582
405,407
406,199
407,131
408,99
409,80
410,58
411,50
412,39
413,27
414,11
415,14
416,14
417,10
418,7
419,7
420,16
421,10
422,11
423,7
424,12
425,13
426,13
427,13
428,9
429,17
430,16
431,14
432,18
433,26
434,39
435,29
436,72
437,51
438,75
439,105
440,222
441,529
442,893
443,858
444,678
445,415
446,335
447,202
448,119
449,79
450,45
451,50
452,41
453,45
454,37
455,40
456,30
457,29
458,19
459,33
460,23
461,30
462,22
463,31
464,30
465,32
466,52
467,96
468,127
469,254
470,348
471,342
472,470
473,693
474,741
475,486
476,211
477,115
478,98
479,49
480,26
481,27
482,25
483,14
484,15
485,3
486,8
487,1
488,6
489,2
493,4
495,2
496,2
500,2
501,1
502,1
503,1
506,1
512,2
517,1
522,1
525,3
528,1
529,1
531,4
532,2
534,2
537,3
539,3
544,1
548,2
549,1
556,1
559,1
564,1
566,1
568,1
571,2
573,1
578,1
579,1
580,3
581,2
583,3
586,1
588,4
589,1
590,1
594,3
598,1
600,8
601,1
603,4
606,4
607,3
608,1
609,4
611,4
612,3
615,1
621,2
624,1
630,1
631,36
635,1
642,1
644,1
651,1
653,1
655,2
656,2
657,1
658,3
659,1
661,1
663,3
666,1
670,1
673,1
676,1
678,3
681,1
683,1
689,2
690,1
691,1
693,1
700,6
703,3
711,4
712,1
717,1
721,4
722,2
726,1
727,1
730,1
731,2
732,2
733,1
734,1
735,1
736,1
741,1
744,2
748,1
749,1
750,2
751,2
754,1
756,1
759,2
760,1
761,1
770,1
771,1
776,1
777,1
778,5
784,1
785,4
786,2
790,1
793,2
794,2
795,1
796,1
800,12
801,4
802,1
808,1
809,2
810,1
811,24
813,1
815,1
819,1
820,1
821,1
824,4
826,3
831,6
834,1
841,2
843,1
850,2
853,6
854,2
855,3
856,1
859,2
861,1
866,1
867,1
872,3
873,3
875,1
877,1
878,1
880,3
887,1
888,1
891,1
893,1
897,1
900,6
901,1
903,6
906,1
911,6
921,2
923,1
924,1
926,1
928,2
931,4
932,1
936,1
943,1
944,2
947,2
950,2
955,3
959,1
960,1
963,1
965,3
968,3
969,1
970,1
971,2
972,31
979,3
980,2
981,1
984,1
998,1
1000,6
1001,1
1002,1
1003,1
1006,1
1009,1
1011,7
1013,2
1014,1
1015,1
1020,1
1024,1
1025,1
1026,5
1027,2
1031,6
1049,1
1053,5
1056,2
1057,1
1060,1
1061,3
1063,1
1066,1
1075,1
1079,31
1081,1
1090,4
1093,1
1095,1
1100,12
1105,1
1108,1
1109,1
1110,1
1111,2
1121,1
1125,1
1126,1
1128,1
1131,21
1132,1
1136,1
1140,1
1141,1
1142,3
1143,3
1146,2
1148,1
1150,2
1151,1
1152,1
1153,1
1154,4
1157,1
1161,2
1162,1
1164,2
1165,3
1166,4
1167,2
1168,1
1169,1
1170,4
1171,4
1172,7
1173,3
1174,3
1175,5
1176,4
1177,12
1178,47
1179,19
1180,25
1181,22
1182,33
1183,51
1184,64
1185,63
1186,91
1187,102
1188,161
1189,321
1190,325
1191,320
1192,292
1193,158
1194,112
1195,60
1196,65
1197,59
1198,39
1199,21
1200,13
1201,12
1202,9
1203,12
1204,6
1205,2
1206,7
1207,5
1208,13
1209,1
1210,12
1211,3
1212,1
1213,1
1214,3
1215,1
1216,5
1217,3
1218,4
1219,1
1220,2
1221,3
1224,1
1225,2
1230,2
1231,9
1232,1
1244,1
1245,1
1249,2
1250,1
1252,1
1255,33
1259,3
1260,2
1263,4
1266,1
1269,1
1270,4
1276,1
1278,6
1279,3
1280,4
1281,32
1284,2
1285,1
1286,1
1290,2
1295,1
1300,8
1303,3
1306,1
1308,1
1309,1
1311,16
1328,1
1331,13
1341,1
1349,1
1350,1
1354,1
1355,3
1357,4
1370,1
1372,1
1376,1
1378,2
1380,1
1381,2
1393,1
1400,3
1403,7
1405,1
1411,1
1419,1
1421,1
1423,1
1426,1
1431,9
1451,1
1453,2
1460,1
1472,1
1474,1
1478,1
1480,1
1481,2
1491,1
1495,1
1500,5
1503,2
1515,1
1528,1
1531,9
1533,1
1540,2
1550,1
1555,1
1556,1
1561,1
1578,3
1581,3
1584,2
1592,1
1600,9
1601,1
1603,1
1605,2
1611,4
1615,1
1617,1
1627,1
1629,1
1630,1
1631,26
1640,1
1649,1
1670,1
1671,1
1678,2
1680,1
1681,1
1695,1
1698,1
1700,4
1711,2
1713,1
1715,1
1721,1
1730,1
1731,1
1755,1
1760,1
1768,1
1770,1
1775,1
1776,1
1790,2
1794,1
1795,1
1799,1
1800,21
1801,1
1802,1
1803,2
1806,1
1811,15
1812,2
1821,3
1831,8
1832,1
1841,1
1845,2
1853,2
1855,1
1856,1
1865,1
1875,3
1878,1
1881,2
1899,1
1900,2
1903,8
1911,4
1917,1
1931,5
1933,1
1951,1
1955,1
1960,2
1978,1
1990,1
1991,1
2000,5
2002,1
2011,1
2015,1
2021,1
2028,1
2030,1
2031,3
2034,1
2045,1
2048,1
2050,1
2053,1
2055,1
2063,1
2064,1
2071,1
2073,2
2077,1
2079,1
2082,1
2088,1
2094,1
2100,21
2103,1
2105,2
2118,1
2125,1
2131,13
2142,1
2156,1
2161,1
2179,1
2181,1
2198,1
2200,2
2202,1
2211,2
2212,1
2221,1
2227,1
2231,2
2233,1
2238,1
2239,1
2247,1
2250,1
2268,1
2278,1
2300,11
2311,10
2316,1
2330,1
2331,2
2350,1
2352,1
2355,1
2363,1
2370,1
2390,2
2400,4
2403,7
2404,1
2408,1
2412,1
2420,3
2423,1
2431,2
2437,1
2446,11
2448,1
2454,1
2457,12
2459,1
2460,1
2461,1
2463,2
2474,1
2478,1
2491,2
