quantity,count
1,89
2,40
3,12
4,178
5,30
6,19
7,10
8,4
9,6
10,15
11,1
12,1
13,9
14,2
15,4
16,6
17,5
18,1
19,10
20,6
21,1
22,3
23,1
24,7
25,8
26,3
27,5
29,1
30,13
31,6
32,1
33,3
34,6
35,9
36,3
37,34
38,2
39,2
40,15
41,1
42,6
43,1
44,3
45,5
47,1
49,1
50,5
51,2
52,3
54,1
55,5
56,5
57,2
59,1
60,9
61,3
63,3
64,1
65,2
66,1
67,1
68,4
71,18
72,2
74,1
76,1
80,1
85,2
90,4
92,9
95,7
97,4
99,1
100,5114
103,1
105,1
106,1
124,5
130,19
144,2
150,6
151,1
200,152
300,35
400,49
500,2
628,1
700,97
800,11
900,1
1000,1
1906,1
