quantity,count
1,38
2,15
3,3
4,6
5,26
6,3
7,3
9,5
10,11
11,5
12,2
13,1
15,4
16,2
17,1
18,3
19,1
20,4
21,3
23,1
24,1
25,1
26,2
27,1
29,2
30,5
31,2
32,2
33,1
34,1
35,1
36,8
39,1
40,3
44,1
45,2
46,1
47,2
48,3
49,1
50,10
51,1
52,2
53,1
54,2
55,1
56,2
58,1
59,1
60,1
61,3
62,1
63,1
64,3
65,2
66,2
68,2
70,3
71,2
74,3
76,1
78,1
83,1
84,1
87,1
88,1
90,6
93,2
94,2
95,13
96,2
97,3
98,2
99,5
100,236
101,1
104,1
105,1
108,1
110,1
124,1
134,1
135,1
136,1
138,1
147,2
150,3
156,2
162,1
163,1
180,1
187,1
193,1
196,1
199,2
200,39
201,1
204,1
210,1
229,1
250,1
262,1
269,1
297,1
300,2
350,1
400,2
500,5
575,1
600,3
706,1
750,1
764,1
800,1
861,1
896,1
2187,1
2200,1
3043,1
4337,1
