quantity,count
1,14
2,5
3,12
4,8
5,82
6,27
7,9
8,5
9,6
10,12
11,2
12,3
13,2
14,2
15,4
16,2
18,20
19,1
20,3
22,1
25,1
26,1
31,2
33,3
35,3
36,4
37,2
38,1
39,1
40,1
41,3
42,1
43,4
44,5
45,2
50,9
51,1
53,1
54,1
62,1
65,1
76,3
77,2
86,2
89,2
92,1
97,6
99,1
100,3570
106,1
107,1
113,12
116,4
125,2
142,6
143,22
147,13
157,1
163,5
165,21
178,1
197,3
200,200
216,1
217,1
250,4
265,1
277,1
292,1
300,41
392,1
400,88
499,1
500,43
600,18
622,11
694,1
700,15
800,67
900,20
1000,7
1077,7
1300,1
1400,1
1500,5
2000,4
4000,2
4772,1
5000,1
6000,1
10000,1
20000,2
