distance_ticks,count
0,1137
1,410
2,323
3,211
4,205
5,128
6,91
7,72
8,30
9,33
10,22
11,44
12,49
13,69
14,62
15,29
16,11
17,5
18,2
19,6
20,1
21,8
22,10
23,15
24,15
25,10
26,9
27,11
28,31
29,29
30,28
31,15
32,8
33,8
34,6
35,2
36,2
37,1
38,2
39,6
40,6
41,3
42,4
43,17
44,17
45,6
46,2
48,3
49,2
50,4
51,3
52,4
53,5
55,3
56,1
61,3
62,1
64,1
66,4
70,1
79,1
81,1
89,3
91,1
96,21
97,4
101,2
102,2
103,1
105,1
108,1
110,18
111,4
112,29
116,4
118,1
121,1
123,13
124,10
128,24
131,3
135,1
137,4
144,1
153,1
201,1
