quantity,count
1,33
2,1
3,4
4,3
5,34
6,15
7,9
8,17
9,10
10,20
11,368
12,14
13,6
14,8
15,16
16,3
17,2
18,33
19,1
20,7
21,2
22,2
23,1
24,2
25,4
26,26
28,17
29,1
30,186
32,1
35,38
40,17
42,1
44,1
45,3
46,3
50,11
52,1
58,1
60,1
61,1
63,3
66,8
68,1
70,1
71,5
72,13
75,1
78,2
80,1
81,1
83,1
87,1
88,1
90,4
94,1
95,1
97,1
98,1
100,2664
102,43
110,1
120,1
131,2
138,1
150,3
160,1
175,1
181,2
184,1
191,34
193,1
195,2
200,409
204,1
217,4
227,2
240,1
242,1
250,2
260,2
274,1
300,158
307,1
312,1
343,1
349,1
400,26
462,1
500,42
550,1
559,1
595,1
600,13
700,4
800,28
873,1
900,15
1000,57
1001,1
1071,1
1072,1
1100,2
1200,56
1208,1
1300,3
1500,9
1800,2
1834,1
2000,2
2023,1
2200,1
2500,2
2600,1
2700,2
2800,2
3000,6
3100,1
3443,1
3730,1
3750,5
3784,1
3800,1
3967,2
4000,2
4125,1
4500,1
4800,1
5000,5
6000,1
6562,1
6750,2
6989,1
7227,1
8000,1
9000,1
10000,2
11250,1
13125,1
14125,2
21604,1
