quantity,count
1,223
2,395
3,192
4,37
5,52
6,21
7,21
8,22
9,23
10,52
11,8
12,14
13,9
14,17
15,22
16,6
17,12
18,7
19,6
20,23
21,8
22,7
23,10
24,6
25,20
26,5
27,8
28,1
29,9
30,24
31,4
32,2
33,3
34,3
35,5
36,3
37,5
39,7
40,14
41,5
42,5
43,3
44,4
45,6
46,3
47,3
48,1
49,2
50,17
52,4
53,2
54,4
55,1
56,3
57,1
58,4
60,7
61,2
62,3
63,3
64,4
65,2
66,4
67,4
68,2
69,1
70,8
71,3
72,1
73,4
74,1
75,10
76,4
77,4
78,3
80,5
81,2
82,2
83,3
84,3
85,5
86,3
87,2
88,6
89,3
90,4
91,2
92,4
93,2
94,1
95,7
96,2
97,6
98,5
99,5
100,225
101,1
103,1
106,1
117,1
118,1
119,1
122,1
124,1
125,1
156,1
157,1
175,1
178,1
180,1
190,2
200,3
300,4
500,1
900,1
1500,1
