distance_ticks,count
0,1432
1,330
2,201
3,108
4,254
5,116
6,114
7,75
8,98
9,50
10,54
11,26
12,42
13,54
14,40
15,48
16,62
17,95
18,74
19,61
20,57
21,26
22,17
23,24
24,23
25,45
26,33
27,34
28,48
29,24
30,10
31,17
32,8
33,7
34,9
35,6
36,9
37,10
38,8
39,7
40,11
41,2
42,8
43,9
44,6
45,5
46,13
47,12
48,5
49,6
50,2
51,5
52,2
53,5
54,2
55,2
56,2
57,3
59,2
62,3
63,1
64,3
65,1
66,2
67,7
68,7
69,3
70,1
71,4
72,2
73,2
74,8
75,6
76,5
77,1
78,1
80,7
81,3
82,1
83,1
84,2
85,2
87,5
88,3
89,2
91,3
92,1
93,2
96,2
97,24
100,3
102,3
103,1
104,2
105,14
106,2
107,3
108,3
110,1
111,2
113,3
114,2
115,3
117,4
118,1
121,1
122,1
123,3
124,2
125,2
127,1
129,2
134,2
136,1
141,1
143,4
147,3
148,1
152,7
153,3
155,2
156,4
162,1
163,1
164,19
165,20
166,36
167,18
169,18
173,1
175,4
190,4
191,15
193,3
207,4
211,3
219,3
224,4
240,1
243,2
246,3
256,1
264,3
265,3
356,1
