distance_ticks,count
0,8097
1,1616
2,605
3,661
4,800
5,629
6,497
7,436
8,754
9,856
10,346
11,190
12,211
13,223
14,154
15,100
16,68
17,44
18,68
19,173
20,106
21,50
22,38
23,27
24,15
25,30
26,18
27,23
28,42
29,78
30,190
31,279
32,275
33,479
34,199
35,204
36,271
37,111
38,21
39,6
40,10
41,10
42,14
43,12
44,11
45,9
46,8
47,12
48,7
49,8
50,8
51,5
52,2
53,9
54,6
55,4
56,12
57,43
58,109
59,53
60,7
61,3
62,5
63,9
64,2
65,3
66,2
67,2
68,5
69,14
70,13
72,8
73,2
74,6
75,10
76,19
77,12
78,6
79,2
80,10
81,7
82,8
83,11
84,19
85,21
86,8
87,4
89,2
90,5
93,1
94,1
96,1
97,1
98,1
99,1
100,2
103,3
105,1
106,7
107,4
108,1
109,3
110,4
114,1
118,3
119,3
120,4
121,5
123,1
125,4
126,5
127,1
133,1
135,1
137,1
138,2
139,1
140,3
141,2
145,2
148,1
150,5
151,8
152,5
153,3
154,1
155,1
157,1
158,1
160,2
162,1
163,2
164,2
168,2
169,3
170,2
172,1
174,1
176,2
177,1
179,2
182,1
189,1
190,4
192,1
193,3
197,3
200,1
205,1
206,8
207,1
213,26
215,2
218,25
219,2
221,2
223,1
226,2
228,1
230,1
233,2
235,1
240,5
242,1
243,2
246,1
250,1
257,1
258,1
259,1
263,4
269,1
270,1
271,1
272,25
273,5
275,2
276,2
287,33
292,3
294,1
299,5
302,2
303,17
304,20
305,7
308,1
310,4
320,2
331,1
337,1
340,2
342,30
343,2
361,2
368,1
369,1
390,1
410,1
438,1
440,1
445,1
470,2
477,1
534,1
563,1
580,1
582,1
670,1
704,1
769,1
790,1
835,1
869,1
875,1
902,1
915,1
926,1
959,1
968,1
1004,1
1015,1
1020,1
1021,1
1140,1
1190,1
