distance_ticks,count
0,16176
1,11481
2,5526
3,3461
4,3601
5,3626
6,1749
7,1085
8,960
9,1002
10,832
11,856
12,824
13,737
14,776
15,871
16,891
17,838
18,803
19,833
20,777
21,735
22,744
23,726
24,611
25,409
26,246
27,281
28,277
29,260
30,274
31,389
32,348
33,253
34,113
35,77
36,76
37,38
38,32
39,36
40,33
41,27
42,27
43,29
44,26
45,36
46,28
47,28
48,17
49,18
50,21
51,16
52,21
53,24
54,6
55,9
56,7
57,8
58,11
59,10
60,5
61,16
62,9
63,7
64,10
65,6
66,10
67,10
68,11
69,3
70,4
71,14
72,7
73,4
74,1
75,5
76,1
77,1
78,2
79,6
80,6
82,4
83,2
84,5
85,8
86,6
87,5
88,9
89,6
90,13
91,23
92,24
93,25
94,28
95,14
96,37
97,38
98,81
99,146
100,325
101,322
102,266
103,184
104,195
105,320
106,383
107,358
108,279
109,132
110,54
111,17
112,6
113,3
114,3
115,3
116,1
118,1
119,3
120,1
121,2
122,1
123,1
124,1
126,3
127,1
128,7
129,6
130,3
131,6
132,16
133,21
134,44
135,68
136,164
137,282
138,328
139,299
140,228
141,321
142,481
143,407
144,318
145,114
146,36
147,20
148,8
149,3
150,1
153,1
154,1
156,1
165,2
166,2
169,1
170,1
173,1
176,1
177,1
179,2
181,1
182,2
187,1
189,1
195,1
196,2
200,1
201,3
207,2
208,1
209,2
210,2
216,1
219,3
220,1
221,1
223,1
232,1
235,1
236,1
244,1
246,3
247,4
248,1
251,1
253,2
254,1
255,1
257,1
265,3
266,1
267,4
268,1
271,2
274,2
276,2
277,2
279,3
280,1
282,2
283,2
284,1
285,2
286,2
287,3
289,2
290,1
291,1
292,1
294,3
295,2
297,2
299,4
300,8
301,7
302,5
303,11
304,24
305,10
306,41
307,60
308,101
309,148
310,306
311,299
312,277
313,232
314,94
315,27
316,12
317,8
318,1
319,1
320,4
321,1
322,2
323,2
324,1
327,2
329,2
330,1
331,2
332,2
333,1
335,1
342,1
348,2
349,1
350,1
353,1
355,1
359,1
363,1
366,1
368,1
369,1
370,2
374,2
375,2
376,1
378,3
382,4
388,1
394,1
398,1
400,3
410,6
415,1
417,1
419,1
422,1
432,3
437,1
438,1
440,1
441,1
446,1
447,1
454,1
455,1
461,1
466,1
470,1
490,1
495,3
499,1
500,1
509,1
517,3
523,1
524,1
546,1
562,4
577,3
586,1
611,3
612,1
617,1
622,2
674,1
701,1
754,3
829,2
831,1
832,1
880,1
887,1
897,1
905,1
907,2
946,1
947,1
948,2
953,2
954,2
955,1
962,1
974,1
977,22
978,8
980,2
988,22
990,8
992,1
1048,3
1051,1
1084,7
1104,3
1202,1
1206,31
1212,2
1215,1
1220,22
1226,9
1264,3
1378,24
1387,9
1395,24
1472,4
1554,8
9996379,1
9996610,1
