distance_ticks,count
0,101159
1,25824
2,21284
3,15448
4,14097
5,11793
6,13758
7,12098
8,11279
9,9295
10,8284
11,7191
12,5989
13,4441
14,3342
15,2529
16,2078
17,1934
18,2008
19,1309
20,918
21,745
22,562
23,491
24,451
25,395
26,351
27,285
28,248
29,282
30,847
31,1277
32,595
33,248
34,320
35,268
36,154
37,206
38,142
39,130
40,109
41,118
42,110
43,100
44,118
45,210
46,163
47,95
48,88
49,69
50,70
51,95
52,65
53,49
54,75
55,51
56,46
57,48
58,54
59,48
60,53
61,37
62,39
63,35
64,45
65,33
66,29
67,47
68,43
69,35
70,40
71,36
72,29
73,26
74,32
75,23
76,26
77,35
78,36
79,31
80,27
81,23
82,31
83,24
84,29
85,22
86,18
87,22
88,19
89,22
90,19
91,21
92,21
93,13
94,24
95,18
96,11
97,13
98,23
99,26
100,22
101,17
102,24
103,35
104,25
105,30
106,24
107,20
108,20
109,16
110,10
111,10
112,13
113,14
114,10
115,1
116,9
117,9
118,22
119,9
120,9
121,9
122,11
123,10
124,3
125,9
126,14
127,10
128,5
129,13
130,8
131,7
132,4
133,5
134,8
135,5
136,4
137,4
138,7
139,7
140,3
141,4
142,10
143,9
144,3
145,6
146,5
147,9
148,4
149,2
150,7
151,7
152,4
153,6
154,12
155,47
156,5
157,8
158,8
159,6
160,3
161,5
162,12
163,188
164,929
165,1854
166,1377
167,1992
168,2300
169,2369
170,378
171,36
172,12
173,7
174,3
175,5
176,8
177,13
178,17
179,13
180,57
181,5
182,15
183,9
184,8
185,13
186,23
187,11
188,13
189,5
190,10
191,1
192,15
193,14
194,20
195,69
196,631
197,1555
198,358
199,16
200,13
201,6
202,3
203,2
204,3
205,8
206,5
207,1
208,2
209,4
210,6
211,1
212,10
213,16
214,9
215,13
216,17
217,7
218,13
219,15
220,18
221,9
222,2
223,3
224,4
225,3
226,10
227,7
228,9
229,14
230,11
231,7
232,13
233,12
234,10
235,15
236,17
237,21
238,7
239,11
240,17
241,14
242,17
243,22
244,15
245,11
246,12
247,9
248,6
249,4
250,4
251,5
252,6
253,4
254,7
255,19
256,3
258,4
259,1
260,4
261,2
262,2
264,5
267,1
268,11
269,1
270,5
271,1
272,1
273,2
274,2
275,3
277,4
278,2
280,6
281,1
282,1
285,3
286,1
287,1
288,3
290,3
291,2
292,2
293,1
294,1
295,4
296,1
297,3
298,3
299,2
300,2
301,3
303,3
304,1
305,5
306,1
307,4
308,3
309,7
310,8
311,3
312,3
313,4
314,1
315,3
316,2
317,5
319,5
320,8
321,3
322,3
324,3
325,2
326,7
327,2
328,4
329,3
330,6
331,1
332,3
333,7
334,4
335,2
336,6
337,1
338,5
339,3
340,1
341,3
342,4
343,19
345,2
348,4
349,1
350,4
351,2
353,2
355,17
356,5
358,2
359,5
360,23
362,1
363,5
364,1
365,1
366,5
367,6
368,5
369,2
371,1
375,1
376,1
377,3
378,2
379,2
380,2
381,2
382,1
385,2
386,1
387,5
388,2
390,4
391,2
392,4
393,3
394,1
395,1
397,1
398,1
401,3
402,1
406,1
408,2
409,1
410,3
413,3
414,1
418,2
420,1
421,1
422,20
425,1
426,1
428,1
430,1
432,3
433,1
437,34
440,2
441,17
443,34
444,34
446,1
448,40
453,1
455,6
457,1
458,2
459,3
460,2
466,1
467,3
468,25
469,1
470,1
471,2
472,4
473,9
474,49
475,234
476,499
477,534
478,253
479,39
480,4
481,1
483,1
486,1
487,1
489,1
490,1
492,1
494,1
496,1
501,1
506,38
507,1
508,2
509,1
510,1
512,1
522,42
526,1
529,1
530,2
541,3
542,1
547,1
560,6
562,1
566,1
568,2
570,1
572,2
577,2
581,1
585,2
588,1
597,1
600,1
601,1
602,2
606,1
607,1
610,1
612,1
618,1
621,1
622,9
628,1
631,1
636,1
641,7
645,2
647,1
655,7
656,1
657,1
660,4
661,1
667,1
669,2
670,1
675,2
677,1
684,1
691,1
692,2
694,1
704,1
710,1
712,1
723,1
725,5
732,1
740,2
741,4
745,2
750,1
755,1
760,3
765,1
775,2
780,2
785,2
787,1
789,1
790,1
791,5
793,1
796,1
804,1
805,1
810,4
815,1
825,5
833,1
835,2
841,4
845,1
847,1
848,1
850,1
855,6
856,1
857,3
859,1
860,27
861,1
866,2
870,1
874,1
875,3
877,3
880,1
885,1
889,1
896,2
897,1
898,1
901,2
905,1
906,1
910,2
911,2
914,1
915,1
922,1
923,1
924,1
925,11
927,1
929,1
930,1
934,2
939,10
940,1
943,1
945,1
946,1
952,1
955,6
957,1
958,3
960,14
970,1
979,1
980,2
982,4
985,4
986,1
990,1
995,1
998,1
999,1
1000,1
1004,1
1007,1
1010,1
1012,1
1014,3
1015,1
1016,1
1018,2
1020,2
1025,2
1030,1
1031,1
1032,1
1035,1
1039,9
1040,1
1050,1
1051,1
1055,1
1056,2
1057,1
1059,2
1060,1
1064,10
1067,2
1069,1
1075,1
1077,1
1078,1
1082,3
1085,1
1089,2
1091,1
1099,1
1100,2
1104,2
1105,1
1109,1
1110,4
1111,1
1112,2
1114,1
1116,2
1117,16
1119,1
1122,1
1123,19
1124,1
1125,3
1126,3
1127,4
1128,22
1129,1
1131,1
1135,2
1136,1
1139,13
1140,2
1143,1
1144,1
1148,1
1155,3
1158,2
1159,2
1162,2
1164,7
1169,4
1171,1
1173,4
1174,1
1179,18
1181,1
1182,1
1185,2
1186,1
1189,2
1193,1
1194,1
1196,2
1197,2
1198,1
1199,1
1200,1
1201,1
1207,1
1209,1
1213,2
1216,1
1217,2
1218,2
1221,1
1222,1
1223,3
1226,1
1227,5
1228,1
1231,2
1233,12
1236,1
1237,1
1238,1
1239,8
1240,1
1241,1
1242,3
1243,69
1244,1
1247,2
1248,1
1249,2
1251,2
1252,1
1253,2
1254,2
1255,1
1257,2
1261,1
1263,1
1265,1
1266,1
1267,4
1268,2
1269,26
1270,1
1271,2
1273,9
1274,2
1276,1
1277,1
1279,1
1280,1
1287,1
1289,1
1294,1
1298,1
1305,5
1306,2
1307,1
1313,1
1317,1
1318,3
1323,1
1325,1
1328,1
1330,1
1334,2
1338,2
1339,1
1340,1
1342,1
1346,17
1355,4
1362,1
1363,1
1364,9
1365,1
1366,1
1377,3
1378,1
1385,2
1388,1
1389,1
1398,1
1407,1
1414,1
1418,1
1422,1
1425,2
1427,6
1430,1
1437,2
1439,12
1442,1
1449,1
1454,1
1468,1
1477,2
1478,2
1494,1
1500,1
1503,1
1505,1
1513,4
1538,1
1539,1
1559,1
1564,1
1573,1
1577,1
1578,1
1582,1
1624,1
1628,1
1634,1
1638,1
1639,2
1655,1
1664,1
1713,1
1748,1
1764,1
1832,1
1864,2
1868,1
1928,1
1955,1
2020,1
2064,4
2078,1
2134,2
2139,1
2155,1
2180,1
2211,1
2228,1
2255,1
2439,1
2459,1
2464,1
2485,1
2624,1
2653,1
2664,2
2665,1
2679,1
2978,1
4364,1
4423,1
4428,1
4439,1
4513,1
6378,1
6389,1
6546,1
9428,1
9439,3
58764,1
658436,1
