distance_ticks,count
0,1268
1,92
2,62
3,98
4,76
5,123
6,82
7,103
8,94
9,115
10,108
11,61
12,104
13,47
14,32
15,30
16,49
17,75
18,111
19,94
20,184
21,167
22,71
23,86
24,43
25,30
26,27
27,21
28,17
29,21
30,9
31,4
32,9
33,11
34,5
35,4
36,3
37,5
38,8
39,15
40,13
41,21
42,17
43,20
44,17
45,14
46,24
47,17
48,5
49,19
50,10
51,1
52,8
53,6
54,5
55,1
56,6
57,9
59,1
60,3
61,3
63,2
64,2
65,9
66,5
68,1
69,11
70,4
71,3
72,1
73,5
75,6
76,1
77,4
78,4
80,2
81,1
82,1
83,3
84,1
86,1
87,1
88,3
91,2
93,1
95,3
97,1
99,3
100,1
104,1
109,1
110,1
130,2
135,1
136,3
141,5
143,3
144,1
153,19
156,52
157,15
159,10
160,12
161,24
164,1
165,3
166,21
169,1
173,2
175,17
179,24
180,2
181,1
184,2
188,3
191,3
194,1
198,10
200,1
205,20
206,2
207,23
210,3
211,11
212,10
213,10
215,1
219,1
231,1
232,1
235,2
