quantity,count
1,22
2,9
3,2
4,6
5,25
6,3
7,2
8,2
9,1
10,78
11,2
12,3
13,5
14,1
15,81
16,2
17,5
18,4
19,4
20,12
21,5
22,2
23,4
24,10
25,39
26,14
27,11
28,6
29,16
30,596
31,1
32,2
33,14
34,6
35,7
36,1
37,2
38,2
39,1
40,9
41,7
43,4
44,1
45,3
47,1
48,1
49,2
50,27
52,4
53,3
55,1
56,1
58,2
59,1
60,7
61,3
65,1
68,1
70,1
72,1
73,1
74,8
75,2
76,1
79,3
80,2
81,1
82,1
83,2
84,3
85,1
86,3
89,1
91,4
92,1
93,2
94,1
95,2
96,5
97,1
98,2
99,4
100,10468
103,1
104,1
107,2
110,2
114,4
115,1
116,21
117,38
118,2
119,1
120,1
121,2
122,4
124,1
125,2
127,2
128,2
129,1
130,1
131,3
133,2
134,1
137,1
140,1
141,1
143,2
146,4
149,13
150,4
154,2
158,2
160,2
161,2
168,1
170,5
171,9
172,1
175,2
176,1
177,2
191,1
196,2
200,725
219,2
222,1
225,2
236,1
240,24
246,1
249,2
250,6
254,1
260,2
267,1
275,1
296,1
300,137
320,1
321,1
323,1
335,3
340,1
350,4
353,1
356,1
360,10
368,1
385,1
387,1
400,190
420,1
425,2
450,2
456,1
460,5
467,1
475,1
496,1
500,304
516,1
532,1
583,1
600,30
605,1
638,1
650,1
663,1
665,1
668,1
670,1
671,1
674,1
680,2
684,1
689,1
691,1
698,1
699,1
700,20
714,1
715,1
750,6
790,1
800,60
833,1
861,1
900,76
946,1
1000,295
1100,75
1150,2
1200,72
1250,3
1300,79
1389,2
1400,3
1500,14
1600,44
1678,1
1700,17
1800,3
1931,1
1950,1
2000,70
2100,3
2300,2
2500,11
2899,1
2900,1
3000,12
3200,1
3335,2
3400,3
3575,1
3700,3
3750,1
3900,1
4000,6
4100,1
4500,1
4600,1
4800,1
5000,13
5001,1
5600,1
6700,1
6800,1
6864,1
7500,1
9980,2
10000,4
23800,1
26315,1
