distance_ticks,count
0,18861
1,7211
2,2765
3,2162
4,1948
5,1776
6,1710
7,1680
8,1664
9,1761
10,1592
11,1564
12,1385
13,1292
14,1051
15,793
16,573
17,402
18,341
19,259
20,190
21,170
22,111
23,126
24,111
25,96
26,90
27,71
28,65
29,67
30,62
31,44
32,46
33,45
34,41
35,47
36,52
37,49
38,99
39,166
40,356
41,343
42,289
43,170
44,157
45,165
46,153
47,198
48,198
49,707
50,1866
51,1025
52,2071
53,246
54,1023
55,108
56,85
57,141
58,203
59,218
60,116
61,79
62,49
63,43
64,30
65,30
66,14
67,25
68,20
69,14
70,7
71,11
72,8
73,11
74,13
75,8
76,8
77,2
78,3
79,13
80,9
81,5
82,9
83,10
84,5
85,3
86,6
87,9
88,3
89,8
90,10
91,6
92,5
93,6
94,5
95,5
96,2
97,12
98,12
99,6
100,6
101,7
102,14
103,7
104,3
105,8
106,2
107,4
108,2
109,4
111,2
112,4
114,2
116,5
117,13
118,1
119,4
120,5
121,21
122,25
123,13
124,22
125,37
126,55
127,67
128,97
129,154
130,193
131,162
132,171
133,123
134,199
135,437
136,58
137,5
138,5
139,5
140,39
141,134
142,382
143,372
144,420
145,309
146,175
147,133
148,101
149,45
150,17
151,17
152,15
153,8
154,8
155,3
156,2
157,1
158,2
159,1
161,1
162,1
164,2
165,1
168,2
169,2
171,1
172,1
175,1
178,3
182,49
185,23
186,1
187,1
193,1
197,1
200,1
203,2
206,1
212,1
222,1
224,1
226,1
229,3
238,2
241,1
243,1
245,1
249,1
253,1
256,1
260,2
263,2
267,22
271,1
272,1
279,2
284,1
287,1
290,17
291,9
293,1
294,2
295,2
297,18
299,1
304,1
316,1
319,25
320,1
322,1
327,1
329,2
330,1
338,2
341,1
342,1
345,1
346,1
347,1
353,3
359,1
360,25
363,1
365,27
366,2
367,1
368,1
373,1
374,2
377,1
378,1
380,1
381,3
382,22
384,1
386,2
389,20
392,1
394,5
396,1
398,1
400,1
402,3
411,1
413,2
415,3
419,21
426,2
427,22
428,3
429,2
430,1
434,22
435,3
437,1
442,16
443,1
448,1
452,1
461,1
471,1
481,1
488,1
490,1
500,1
525,1
528,1
529,1
530,1
536,1
555,2
562,1
566,1
570,1
583,1
586,1
615,1
625,2
635,1
645,1
699,1
711,1
729,3
730,1
740,1
745,1
752,1
763,1
772,1
775,1
783,1
802,1
811,1
815,3
848,1
865,1
948,1
958,2
1011,1
1025,1
1029,1
1048,4
1088,1
1115,1
1125,1
1215,1
1248,1
1268,1
1275,1
1315,7
1336,1
1348,1
1359,1
1405,2
1453,2
1485,1
1505,1
1511,1
1515,1
1526,1
1548,1
1605,1
1615,1
1625,1
1705,1
1800,1
1815,2
1825,1
1829,1
1853,1
1948,7
1953,1
2029,1
2048,1
2053,1
2115,1
2153,6
2215,7
2248,1
2315,2
2325,1
2453,1
2515,1
2529,2
2553,6
2615,1
2625,1
2653,2
2800,1
2953,1
3048,1
3172,1
3315,2
3411,1
3653,1
4648,1
5125,1
8300,1
16548,1
18029,1
32373,1
48092,1
9997972,1
9998029,1
9998300,1
9998510,1
9998625,1
