distance_ticks,count
0,3369
1,1219
2,691
3,530
4,470
5,445
6,370
7,176
8,128
9,86
10,101
11,117
12,44
13,79
14,218
15,168
16,85
17,29
18,13
19,23
20,11
21,22
22,22
23,36
24,30
25,32
26,20
27,26
28,20
29,34
30,27
31,23
32,29
33,33
34,37
35,26
36,40
37,23
38,50
39,73
40,101
41,96
42,121
43,114
44,77
45,34
46,33
47,7
48,7
49,19
50,22
51,5
52,2
53,9
54,7
55,2
56,14
57,3
58,2
59,1
60,4
61,2
62,6
64,3
65,1
66,1
67,3
68,3
70,4
71,2
72,3
73,2
74,2
76,1
77,1
78,1
83,1
86,1
87,1
88,1
89,3
90,2
91,2
92,1
93,1
97,1
98,5
99,22
102,1
104,2
105,1
107,10
109,3
110,3
111,4
113,1
116,1
117,1
118,1
120,19
121,21
122,21
123,4
124,22
125,1
126,1
128,2
130,1
132,17
134,1
137,10
138,2
139,12
141,2
142,3
145,2
147,1
149,1
151,4
152,1
157,5
161,1
166,2
169,21
170,18
172,1
174,2
178,1
179,16
182,3
193,1
202,1
206,1
208,1
226,1
232,1
238,1
256,1
282,1
283,1
296,1
298,1
301,1
313,1
325,1
328,1
334,1
393,1
395,1
398,1
443,1
454,1
463,1
474,1
476,1
487,3
497,1
547,1
597,1
