quantity,count
1,59
2,10
3,4
4,8
5,81
6,19
7,5
8,14
9,2
10,12
11,7
12,26
13,5
14,2
15,44
16,11
17,5
18,4
19,7
20,12
21,14
22,5
23,3
24,34
25,6
26,4
27,3
28,4
29,4
30,301
31,1
32,2
34,2
35,1
37,5
38,1
39,1
40,6
41,1
42,2
44,1
47,1
49,1
50,33
51,1
52,2
53,2
54,2
55,2
56,7
58,3
59,1
60,1
62,4
64,1
65,2
66,30
67,38
68,3
69,1
70,59
71,4
72,1
73,1
75,1
77,5
80,6
82,7
83,1
84,2
85,2
86,4
87,1
88,1
89,1
90,1
91,8
92,7
93,5
94,21
96,1
97,6
98,2
99,63
100,8791
103,1
107,1
115,1
116,1
118,1
125,3
131,1
137,1
140,2
144,2
150,7
153,2
156,1
160,1
166,1
180,2
182,1
190,1
196,1
197,44
200,836
213,1
225,9
227,25
232,2
247,1
250,6
300,268
302,1
391,1
400,163
450,1
476,1
500,106
576,1
577,21
600,186
615,1
675,1
677,3
700,65
800,30
900,47
920,1
1000,107
1035,1
1100,31
1200,150
1300,4
1450,1
1600,1
1616,1
1700,2
1720,1
1900,113
2000,10
2100,1
2300,2
2400,1
2500,6
2600,1
3000,3
3100,1
3290,1
3900,1
4000,2
4200,1
5000,6
