distance_ticks,count
0,2988
1,115
2,70
3,31
4,25
5,28
6,25
7,17
8,32
9,21
10,16
11,16
12,34
13,47
14,31
15,28
16,33
17,15
18,22
19,18
20,19
21,12
22,22
23,21
24,26
25,29
26,15
27,7
28,13
29,12
30,6
31,9
32,20
33,33
34,10
35,6
36,7
37,5
38,4
39,9
40,5
41,6
42,6
43,4
44,4
45,8
46,6
47,10
48,10
49,12
50,9
51,17
52,31
53,32
54,147
55,52
56,15
57,3
58,10
59,12
60,11
61,24
62,13
63,8
64,4
65,4
66,2
67,6
68,11
69,4
70,5
71,9
72,48
73,124
74,87
75,36
76,5
77,7
78,7
79,8
80,6
81,9
82,7
83,5
84,1
85,1
86,4
87,3
88,7
90,8
91,3
92,6
93,5
94,5
95,5
97,3
98,5
99,2
100,2
101,4
102,3
104,2
105,2
106,6
107,5
108,8
109,13
110,3
111,3
112,4
113,4
114,3
115,3
116,2
117,6
118,10
119,7
120,1
121,2
122,6
123,10
124,10
125,13
126,16
127,9
128,11
129,11
130,8
131,9
132,12
133,12
134,42
135,157
136,178
137,137
138,54
139,29
140,7
141,5
142,14
143,13
144,6
145,6
146,2
147,5
148,5
149,5
150,7
151,1
152,3
153,2
156,4
157,6
159,3
161,1
162,3
165,1
166,1
167,4
168,9
169,7
170,8
171,7
172,4
173,6
174,3
175,3
176,2
177,3
178,1
179,2
180,6
183,2
184,6
185,1
186,1
187,4
189,1
196,4
197,3
199,4
200,4
202,5
204,3
205,1
206,2
207,1
210,2
213,2
214,1
216,3
217,3
218,2
219,1
221,3
225,2
229,2
230,1
234,1
235,1
237,1
238,1
239,3
240,7
242,2
243,3
244,6
245,1
250,1
255,1
256,2
257,1
258,1
259,2
262,2
264,2
265,2
266,1
268,2
269,1
273,5
275,2
276,3
285,2
286,1
289,1
292,1
294,1
299,1
300,2
310,2
311,1
315,2
316,2
317,1
318,1
322,2
325,1
327,1
329,1
332,1
344,1
350,1
351,3
356,1
357,1
367,1
368,2
369,1
393,1
394,1
405,2
406,1
418,2
425,2
427,1
429,1
431,1
441,3
448,3
450,3
456,3
457,3
458,1
462,1
469,1
472,1
483,1
491,18
493,1
494,1
498,16
500,17
504,16
506,18
512,16
516,13
518,1
525,3
546,14
553,14
562,2
568,1
572,6
573,1
579,1
593,4
600,1
604,1
605,1
618,1
623,5
634,3
662,1
665,16
669,4
700,2
702,2
703,1
706,16
745,1
788,2
855,2
869,1
882,1
884,1
900,1
927,1
1000,1
1100,1
1150,1
1200,1
