distance_ticks,count
0,397
1,32
2,31
3,15
4,23
5,27
6,21
7,18
8,28
9,26
10,47
11,67
12,48
13,39
14,58
15,32
16,21
17,17
18,18
19,9
20,10
21,10
22,7
23,11
24,15
25,19
26,13
27,6
28,10
29,18
30,24
31,30
32,21
33,9
34,6
35,7
36,9
37,4
38,3
39,1
40,4
41,4
42,2
43,4
44,6
45,3
46,4
47,4
49,1
51,1
52,3
53,2
55,1
56,1
57,1
59,3
60,3
61,1
62,2
63,1
65,1
69,1
73,2
74,1
77,1
78,2
79,1
83,1
84,2
86,1
87,3
88,2
89,3
90,2
93,1
98,6
99,9
100,17
101,3
102,1
103,1
106,2
107,1
108,3
109,1
110,3
111,13
112,1
113,19
114,3
115,3
116,3
117,9
121,1
122,1
123,2
124,1
126,4
127,16
130,17
134,1
135,6
140,1
149,1
150,1
159,1
177,1
208,1
209,2
217,2
301,1
308,1
309,1
350,1
404,2
