distance_ticks,count
0,80175
1,20234
2,14477
3,11703
4,8590
5,7749
6,10140
7,12748
8,10437
9,8422
10,6994
11,5999
12,5015
13,4427
14,3769
15,3503
16,3102
17,2739
18,2550
19,2213
20,1565
21,1339
22,1101
23,990
24,858
25,756
26,778
27,698
28,610
29,1172
30,1420
31,465
32,375
33,353
34,588
35,454
36,302
37,342
38,256
39,218
40,223
41,243
42,414
43,489
44,279
45,282
46,212
47,135
48,135
49,126
50,122
51,85
52,80
53,96
54,83
55,97
56,92
57,70
58,60
59,64
60,70
61,57
62,66
63,63
64,70
65,62
66,73
67,60
68,68
69,67
70,51
71,42
72,41
73,40
74,33
75,36
76,29
77,37
78,42
79,37
80,41
81,39
82,36
83,47
84,48
85,47
86,29
87,43
88,70
89,46
90,37
91,41
92,39
93,36
94,27
95,31
96,25
97,25
98,30
99,17
100,28
101,23
102,23
103,26
104,30
105,28
106,43
107,38
108,35
109,28
110,29
111,33
112,33
113,24
114,23
115,28
116,25
117,31
118,27
119,28
120,23
121,14
122,20
123,15
124,15
125,11
126,12
127,11
128,14
129,20
130,16
131,15
132,15
133,11
134,12
135,15
136,25
137,15
138,15
139,18
140,32
141,13
142,16
143,8
144,11
145,18
146,11
147,10
148,54
149,10
150,18
151,12
152,13
153,12
154,10
155,16
156,14
157,166
158,1098
159,2500
160,1871
161,1553
162,1000
163,1187
164,1139
165,300
166,68
167,19
168,21
169,18
170,29
171,15
172,29
173,24
174,60
175,95
176,388
177,988
178,966
179,861
180,817
181,379
182,170
183,114
184,114
185,106
186,111
187,78
188,67
189,35
190,57
191,92
192,477
193,1424
194,754
195,241
196,20
197,11
198,14
199,12
200,8
201,7
202,8
203,4
204,10
205,32
206,3
207,5
208,7
209,9
210,10
211,9
212,6
213,15
214,14
215,17
216,13
217,10
218,11
219,9
220,11
221,10
222,6
223,5
224,9
225,12
226,13
227,11
228,12
229,10
230,9
231,7
232,9
233,7
234,4
235,5
236,11
237,6
238,10
239,9
240,40
241,41
242,8
243,14
244,15
245,13
246,8
247,11
248,12
249,15
250,11
251,11
252,13
253,8
254,17
255,17
256,12
257,10
258,6
259,9
260,8
261,8
262,10
263,9
264,8
265,11
266,7
267,6
268,5
269,8
270,8
271,2
272,5
273,7
274,5
275,7
276,5
277,10
278,4
279,4
280,6
281,2
282,1
283,8
284,2
285,8
286,6
287,6
288,9
289,3
290,10
291,9
292,4
293,4
295,18
296,5
297,1
298,7
299,56
300,3
301,2
302,1
303,5
304,1
305,32
306,3
307,4
308,7
309,5
310,7
311,6
312,10
313,7
314,13
315,14
316,8
317,6
318,10
319,4
320,6
321,4
322,3
323,8
324,4
325,3
326,2
327,2
328,6
329,3
330,6
331,9
332,10
333,12
334,14
335,13
336,3
337,4
338,8
339,4
340,24
341,86
342,4
343,5
344,1
345,8
346,6
347,3
348,2
349,17
350,7
351,11
352,10
353,2
354,12
355,11
356,3
357,3
358,6
359,3
360,4
361,6
362,6
363,4
364,2
365,4
366,6
367,3
368,1
369,6
370,2
371,4
372,4
373,2
374,6
375,3
376,2
377,4
379,3
380,2
382,4
383,1
384,2
385,1
386,3
387,2
388,1
389,6
390,12
391,3
392,3
393,3
394,6
395,20
396,2
397,5
398,3
399,5
400,32
401,3
402,2
403,5
404,4
405,2
406,11
407,2
408,3
409,3
410,7
411,2
412,1
