quantity,count
1,849
2,130
3,84
4,79
5,62
6,50
7,39
8,34
9,27
10,105
11,30
12,55
13,33
14,38
15,33
16,16
17,23
18,11
19,39
20,57
21,13
22,17
23,24
24,24
25,45
26,27
27,12
28,19
29,15
30,32
31,10
32,15
33,12
34,10
35,15
36,14
37,55
38,39
39,6
40,18
41,6
42,5
43,11
44,10
45,15
46,13
47,5
48,12
49,34
50,48
51,27
52,11
53,2
54,20
55,4
56,10
57,11
58,7
59,3
60,12
61,9
62,11
63,26
64,7
65,7
66,13
67,18
68,9
69,6
70,11
71,4
72,15
73,5
74,21
75,23
76,16
77,11
78,11
79,7
80,22
81,17
82,8
83,10
84,12
85,7
86,15
87,10
88,12
89,11
90,22
91,10
92,14
93,13
94,15
95,8
96,10
97,12
98,28
99,40
100,2003
101,2
103,1
104,2
105,2
107,1
111,2
112,6
113,1
116,2
117,3
118,1
119,1
120,1
122,1
123,2
124,1
125,1
127,1
131,1
132,2
133,2
135,1
136,1
137,3
138,1
139,1
143,2
146,1
149,5
150,6
151,1
152,2
153,2
157,1
158,2
160,1
161,2
162,1
164,1
166,1
170,3
172,1
174,1
175,1
176,1
177,1
178,1
181,3
182,1
183,1
186,1
187,2
188,2
189,1
191,1
192,1
195,2
197,4
198,1
199,2
200,151
202,1
205,3
212,1
224,1
225,1
235,1
246,1
249,1
250,6
254,1
255,1
256,1
259,1
263,1
269,1
281,2
283,1
287,1
290,1
296,1
300,30
313,1
321,1
322,1
324,1
347,1
348,1
369,1
372,1
375,1
400,7
405,1
407,1
429,1
440,1
450,1
464,1
485,1
500,6
516,1
525,1
600,2
658,1
700,1
826,1
1000,5
1066,1
1100,1
2100,1
