quantity,count
1,32
2,11
3,37
4,10
5,45
6,5
7,6
8,18
9,3
10,43
11,5
12,8
13,5
14,11
15,63
16,5
17,6
19,5
20,24
21,7
22,7
23,4
24,11
25,3
26,36
27,5
28,22
29,8
30,807
31,1
32,2
33,7
34,4
35,2
37,106
38,16
39,11
40,18
41,12
42,1
43,4
44,4
45,8
46,7
47,4
48,1
49,7
50,6
51,4
53,9
54,5
55,3
56,1
57,7
58,3
59,8
60,13
61,5
62,11
63,5
64,10
65,2
66,2
67,9
68,2
70,14
71,1
72,1
73,4
74,4
75,5
76,2
77,1
78,1
79,3
80,10
81,7
82,5
83,3
84,12
85,5
86,18
87,5
88,7
89,2
90,20
91,2
92,5
93,5
94,9
95,6
96,4
97,7
98,3
99,7
100,13949
103,2
104,1
105,2
108,2
111,1
113,1
114,1
115,2
116,2
119,1
120,2
121,1
122,1
123,4
124,3
126,1
127,4
128,1
129,4
130,1
131,2
132,3
133,2
134,2
135,2
136,2
137,4
138,3
139,1
140,2
141,2
143,2
145,3
146,2
147,1
148,4
149,3
150,5
151,2
152,4
153,1
154,1
157,23
163,1
166,1
168,1
169,2
170,1
171,2
172,1
173,1
174,1
175,3
177,2
179,5
180,4
181,38
183,2
184,2
185,3
186,3
189,1
190,37
195,3
199,2
200,1005
210,30
211,1
229,1
232,1
242,1
262,1
271,1
275,1
300,498
301,1
340,2
392,1
395,1
399,1
400,562
414,1
431,4
460,1
468,1
471,1
500,172
588,2
598,1
600,674
602,3
604,6
700,266
703,1
800,31
898,1
900,8
998,1
1000,68
1044,7
1100,96
1157,52
1200,27
1211,1
1300,2
1500,10
1600,14
1700,1
1750,1
1800,17
1900,1
1950,1
2000,29
2500,2
2700,1
2900,1
3000,4
3200,1
3600,2
3700,1
5000,1
