distance_ticks,count
0,91639
1,44843
2,20022
3,16733
4,15227
5,14573
6,14239
7,12529
8,11265
9,10083
10,10355
11,10698
12,11237
13,10504
14,8719
15,8581
16,8620
17,8309
18,8044
19,7873
20,7924
21,7782
22,7599
23,7280
24,7402
25,7162
26,7107
27,7024
28,6823
29,6846
30,6450
31,6208
32,6112
33,5878
34,5480
35,5156
36,5009
37,4651
38,4363
39,4058
40,3938
41,3755
42,3553
43,3493
44,3219
45,3025
46,2829
47,2834
48,2603
49,2501
50,2401
51,2294
52,2161
53,2070
54,2079
55,1987
56,1859
57,1792
58,1700
59,1712
60,1545
61,1415
62,1380
63,1327
64,1287
65,1199
66,1179
67,1056
68,1016
69,1069
70,910
71,978
72,893
73,807
74,788
75,791
76,751
77,694
78,639
79,598
80,654
81,638
82,592
83,591
84,601
85,546
86,545
87,535
88,471
89,492
90,495
91,472
92,443
93,441
94,489
95,436
96,445
97,430
98,477
99,413
100,436
101,400
102,363
103,332
104,334
105,360
106,340
107,313
108,308
109,310
110,301
111,325
112,282
113,287
114,276
115,263
116,268
117,253
118,304
119,285
120,242
121,260
122,273
123,224
124,209
125,226
126,235
127,207
128,197
129,199
130,189
131,209
132,189
133,189
134,196
135,191
136,199
137,192
138,188
139,225
140,176
141,164
142,198
143,164
144,160
145,154
146,159
147,141
148,144
149,137
150,134
151,125
152,106
153,134
154,126
155,108
156,122
157,140
158,139
159,112
160,134
161,139
162,112
163,96
164,124
165,138
166,130
167,110
168,124
169,146
170,137
171,134
172,142
173,142
174,126
175,143
176,125
177,105
178,112
179,126
180,101
181,100
182,120
183,85
184,100
185,90
186,91
187,89
188,84
189,83
190,111
191,100
192,90
193,94
194,104
195,109
196,99
197,105
198,79
199,95
200,113
201,89
202,97
203,117
204,87
205,122
206,106
207,128
208,122
209,130
210,120
211,134
212,143
213,148
214,138
215,155
216,155
217,177
218,150
219,153
220,172
221,135
222,107
223,138
224,114
225,109
226,98
227,100
228,97
229,77
230,86
231,56
232,69
233,66
234,58
235,48
236,55
237,41
238,46
239,53
240,41
241,41
242,40
243,27
244,42
245,38
246,37
247,33
248,47
249,29
250,34
251,33
252,34
253,34
254,25
255,47
256,32
257,36
258,46
259,37
260,39
261,28
262,32
263,40
264,54
265,43
266,57
267,56
268,62
269,64
270,96
271,95
272,92
273,115
274,122
275,156
276,120
277,92
278,75
279,104
280,98
281,89
282,103
283,90
284,85
285,89
286,88
287,80
288,74
289,69
290,77
291,72
292,83
293,76
294,53
295,59
296,66
297,54
298,66
299,70
300,109
301,116
302,140
303,216
304,251
305,305
306,358
307,296
308,265
309,207
310,163
311,150
312,100
313,85
314,81
315,60
316,72
317,77
318,93
319,60
320,73
321,66
322,50
323,63
324,67
325,88
326,83
327,116
328,81
329,84
330,85
331,120
332,114
333,158
334,144
335,133
336,114
337,120
338,122
339,142
340,167
341,173
342,212
343,239
344,209
345,169
346,137
347,119
348,123
349,102
350,91
351,81
352,81
353,69
354,57
355,68
356,76
357,63
358,86
359,61
360,64
361,47
362,55
363,55
364,44
365,44
366,37
367,56
368,80
369,110
370,161
371,171
372,136
373,130
374,114
375,95
376,120
377,98
378,100
379,87
380,79
381,78
382,59
