distance_ticks,count
0,50902
1,12064
2,6630
3,5661
4,4314
5,5060
6,6615
7,5320
8,4617
9,3988
10,4282
11,3001
12,2245
13,1566
14,1346
15,1454
16,1481
17,1529
18,1132
19,805
20,567
21,394
22,279
23,272
24,266
25,234
26,204
27,198
28,149
29,131
30,119
31,101
32,103
33,92
34,77
35,63
36,69
37,44
38,39
39,38
40,30
41,45
42,44
43,36
44,20
45,29
46,18
47,20
48,21
49,23
50,32
51,44
52,342
53,1097
54,333
55,50
56,27
57,43
58,19
59,22
60,19
61,7
62,12
63,11
64,13
65,11
66,8
67,12
68,7
69,19
70,18
71,27
72,13
73,9
74,8
75,7
76,9
77,14
78,12
79,10
80,13
81,13
82,23
83,51
84,168
85,544
86,1006
87,886
88,535
89,108
90,15
91,10
92,21
93,44
94,188
95,740
96,1295
97,745
98,270
99,52
100,19
101,17
102,13
103,11
104,9
105,15
106,7
107,38
108,6
109,17
110,9
111,1
112,11
113,18
114,28
115,28
116,12
117,13
118,13
119,12
120,8
121,19
122,26
123,21
124,57
125,106
126,302
127,493
128,740
129,648
130,451
131,143
132,54
133,19
134,12
135,13
136,4
137,9
138,12
139,4
140,7
141,8
142,6
143,44
144,11
145,7
146,2
147,1
148,1
149,2
150,6
151,3
152,5
153,9
154,67
155,297
156,507
157,333
158,124
159,74
160,56
161,35
162,38
163,15
164,4
165,2
166,7
167,46
168,4
169,8
170,6
171,15
172,2
173,6
174,10
175,5
176,3
177,7
178,2
179,5
180,2
181,4
182,5
183,2
184,8
185,12
186,1
187,11
188,5
189,1
190,6
192,2
193,1
196,2
197,4
198,2
199,1
200,1
201,3
202,6
203,1
204,1
205,3
206,5
207,16
208,3
209,7
210,5
211,46
212,8
213,3
214,4
215,1
216,2
217,6
218,2
219,1
220,3
221,4
222,1
223,1
224,3
225,2
226,5
227,4
228,5
229,37
230,1
231,1
232,1
233,39
235,1
237,4
238,1
239,2
240,1
241,1
242,2
246,4
247,1
251,2
252,2
253,1
255,2
256,1
257,11
258,1
259,39
260,12
261,3
262,29
263,1
264,1
267,4
268,1
270,3
271,1
274,2
275,2
276,1
277,11
280,4
281,3
282,3
283,1
284,3
285,2
286,1
288,1
289,2
290,2
291,1
296,1
298,2
300,1
301,1
302,1
305,1
306,1
307,8
308,3
310,1
311,4
312,2
314,1
315,1
317,1
319,2
323,1
324,1
325,2
329,1
332,3
333,3
336,1
337,4
340,36
341,1
342,2
346,1
347,1
349,3
350,6
351,1
352,2
354,21
355,1
356,14
357,13
358,1
360,3
362,2
364,2
369,8
370,18
374,1
375,1
376,1
377,2
380,2
382,2
385,1
387,1
390,1
391,1
397,3
398,1
399,1
400,3
401,3
404,1
406,3
407,22
410,4
412,10
414,1
415,4
416,5
417,2
420,1
422,1
424,1
425,2
429,1
431,2
432,1
435,1
436,1
440,2
442,26
444,1
447,1
449,1
450,2
452,1
455,1
456,1
457,7
458,2
460,7
462,4
464,1
470,1
472,1
477,4
478,1
479,1
484,1
486,1
487,2
492,1
497,4
501,1
502,5
504,1
507,7
510,1
511,2
512,3
516,1
517,1
520,1
523,2
527,1
530,1
532,8
544,1
547,1
548,1
551,1
552,1
555,1
556,1
557,9
560,4
561,1
562,4
569,1
570,1
574,2
577,5
578,20
579,4
582,2
583,2
584,1
585,1
586,1
587,2
590,1
592,4
597,1
600,1
607,3
612,2
616,1
622,1
627,1
632,1
635,1
639,1
640,1
641,1
645,1
649,1
650,1
651,2
652,63
657,1
658,17
660,4
662,1
663,1
670,1
672,1
673,1
678,1
679,1
680,2
688,1
692,1
697,1
710,1
711,1
713,10
720,3
727,1
730,1
740,1
748,1
754,1
760,4
762,4
763,1
786,2
796,1
802,1
803,1
804,1
820,1
838,1
850,8
851,3
853,1
856,23
858,3
859,2
861,1
862,1
866,1
868,1
888,1
894,2
899,26
900,1
902,1
907,7
912,1
919,2
921,1
926,1
927,1
931,1
945,1
956,1
957,1
958,2
962,2
963,2
973,1
979,1
980,1
990,1
1010,3
1011,1
1012,1
1053,1
1055,2
1058,1
1060,1
1070,1
1077,1
1106,1
1107,1
1110,1
1113,1
1123,1
1153,1
1155,1
1157,1
1158,4
1160,2
1161,1
1163,1
1167,1
1200,2
1207,2
1210,1
1213,4
1217,1
1228,1
1258,1
1260,9
1267,1
1269,1
1282,1
1302,1
1307,2
1345,1
1360,9
1361,1
1388,1
1392,2
1407,3
1408,1
1413,2
1425,1
1460,4
1507,1
1539,1
1553,1
1558,1
1560,2
1602,1
1607,1
1626,1
1651,1
1660,2
1662,5
1698,2
1740,1
1759,2
1760,8
1761,3
1806,1
1840,1
1845,1
1860,1
1895,1
1907,1
1910,1
1927,1
1966,1
1968,1
2010,1
2012,1
2047,1
2050,1
2056,1
2058,4
2060,1
2137,1
2157,4
2213,1
2227,1
2260,2
2283,1
2307,1
2533,1
2551,1
2573,1
2607,1
2745,1
2760,2
2807,5
2839,1
2913,1
3059,1
3113,3
3158,1
3160,1
3163,1
3192,1
3212,1
3270,1
3444,1
3886,1
4160,1
4259,1
