quantity,count
1,556
2,421
3,53
4,46
5,331
6,96
7,20
8,362
9,56
10,594
11,24
12,79
13,48
14,30
15,163
16,40
17,38
18,180
19,28
20,235
21,32
22,49
23,32
24,47
25,33
26,23
27,17
28,33
29,16
30,378
31,7
32,6
33,11
34,50
35,5
36,13
37,10
38,5
39,13
40,79
41,6
42,6
43,8
44,5
45,5
46,1
47,5
48,1
49,8
50,50
51,7
52,3
53,7
54,3
55,9
56,1
57,5
58,19
59,11
60,21
61,3
62,6
63,40
64,12
65,10
66,4
67,4
68,4
69,4
70,35
71,10
72,11
73,10
74,4
75,6
76,74
77,4
78,17
79,9
80,46
81,18
82,4
83,8
84,20
85,5
86,10
87,10
88,24
89,2
90,11
91,11
92,3
93,9
94,5
95,5
96,2
97,12
98,8
99,9
100,39017
101,10
104,61
105,2
106,1
110,5
112,1
113,4
114,1
115,4
116,6
117,4
119,3
121,4
125,11
126,7
127,1
130,163
132,1
133,1
134,37
137,1
139,1
140,1
141,2
142,96
144,1
145,1
147,43
149,1
150,4
151,19
153,2
156,2
157,1
158,1
163,2
164,1
166,36
167,1
170,1
171,1
173,1
175,2
180,1
181,1
182,143
190,3
192,1
194,4
195,1
199,2
200,2183
207,170
208,2
210,1
212,92
222,1
227,5
248,3
256,7
260,1
275,1
290,2
294,1
299,1
300,435
311,1
350,2
352,1
363,1
370,6
377,1
387,2
388,6
390,9
395,12
400,281
406,1
410,1
415,1
430,2
442,1
447,1
460,12
475,1
500,70
507,1
531,2
586,1
600,39
700,72
800,94
820,2
900,11
976,1
998,1
1000,77
1085,2
1100,3
1125,1
1200,2
1300,1
1400,1
1450,1
1500,2
1600,2
1700,2
1800,1
1900,1
1924,1
1998,1
2000,32
2359,1
2400,3
2500,4
2600,1
2900,4
3200,1
4500,1
5273,1
5600,1
7095,1
7620,1
83245,1
