quantity,count
1,1728
2,566
3,428
4,504
5,879
6,642
7,901
8,462
9,445
10,1578
11,235
12,341
13,126
14,773
15,379
16,229
17,53
18,56
19,99
20,277
21,113
22,70
23,61
24,113
25,144
26,210
27,468
28,344
29,397
30,621
31,343
32,433
33,337
34,281
35,213
36,324
37,200
38,158
39,155
40,394
41,66
42,129
43,42
44,46
45,60
46,27
47,49
48,64
49,39
50,272
51,52
52,48
53,28
54,71
55,32
56,60
57,26
58,62
59,40
60,48
61,21
62,43
63,61
64,50
65,57
66,57
67,59
68,46
69,59
70,33
71,43
72,33
73,57
74,443
75,849
76,435
77,377
78,838
79,461
80,798
81,470
82,119
83,116
84,224
85,310
86,196
87,268
88,292
89,506
90,293
91,275
92,260
93,254
94,151
95,232
96,185
97,138
98,134
99,170
100,266127
101,21
102,27
103,28
104,12
105,10
106,13
107,6
108,6
109,6
110,5
111,2
112,6
113,3
114,4
115,6
116,3
117,29
118,2
119,2
120,7
121,3
122,4
123,26
124,5
125,3
126,9
127,21
128,4
129,4
130,11
131,8
132,4
133,2
134,8
135,4
136,3
138,1
139,6
140,3
141,3
142,4
144,2
145,3
146,4
147,2
148,7
149,3
150,61
152,2
153,1
154,1
155,3
156,4
157,1
158,3
159,4
160,7
161,2
162,10
163,3
164,5
165,3
166,6
167,7
168,201
169,1
170,5
171,5
172,7
173,7
174,4
175,4
176,2
177,3
178,9
179,12
180,15
181,1
182,6
183,2
184,3
185,6
186,3
188,1
190,3
191,4
192,3
193,9
194,3
195,5
196,7
197,3
198,14
199,7
200,8629
201,3
204,4
207,2
208,1
209,3
214,1
216,2
217,5
218,2
219,1
221,1
223,1
225,1
226,1
227,11
229,1
230,5
235,1
236,2
238,2
239,1
241,2
243,1
244,1
249,1
250,5
251,1
261,1
271,8
273,7
275,1
283,2
287,1
288,1
294,1
296,1
298,1
300,3013
302,1
306,2
311,3
312,1
313,1
317,2
318,1
320,2
321,1
322,1
344,1
363,1
375,2
381,1
385,1
390,1
395,1
396,1
399,1
400,470
402,1
407,3
417,2
425,2
439,1
440,1
443,1
448,1
450,1
460,1
461,1
471,1
488,1
500,463
506,1
517,12
558,1
569,3
600,133
617,2
667,1
700,85
717,8
738,1
745,1
797,1
800,200
817,14
892,1
900,96
916,1
1000,58
1051,4
1100,43
1163,1
1193,1
1195,1
1200,4
1300,1
1334,1
1500,3
1600,1
1700,1
1800,1
2000,72
2102,1
2900,1
3153,1
3400,1
3555,1
3600,2
6122,1
