distance_ticks,count
0,6464
1,506
2,333
3,306
4,235
5,247
6,213
7,129
8,115
9,115
10,94
11,121
12,101
13,155
14,110
15,159
16,76
17,59
18,56
19,67
20,63
21,52
22,47
23,42
24,40
25,54
26,48
27,31
28,36
29,32
30,20
31,33
32,27
33,27
34,18
35,18
36,25
37,12
38,21
39,17
40,13
41,19
42,19
43,6
44,11
45,17
46,8
47,20
48,19
49,10
50,21
51,6
52,18
53,15
54,9
55,9
56,14
57,11
58,11
59,29
60,30
61,13
62,14
63,10
64,17
65,20
66,12
67,17
68,12
69,10
70,24
71,16
72,8
73,2
74,8
75,19
76,16
77,11
78,11
79,10
80,9
81,16
82,5
83,9
84,5
85,4
86,8
87,8
88,10
89,16
90,11
91,5
92,10
93,9
94,5
95,5
96,5
97,7
98,5
99,6
100,14
101,13
102,20
103,20
104,15
105,14
106,9
107,4
108,7
109,3
110,7
111,7
112,4
113,3
114,6
115,5
116,5
117,8
118,3
119,7
120,4
121,16
122,13
123,11
124,7
125,5
126,2
127,2
128,3
129,3
130,3
131,3
132,3
133,3
134,2
135,2
136,5
137,2
138,3
139,4
140,1
141,1
144,1
145,1
146,3
147,5
148,1
149,8
150,5
151,3
152,8
153,10
154,11
155,7
156,11
157,8
158,7
159,13
160,10
161,19
162,10
163,12
164,7
165,11
166,12
167,13
168,15
169,23
170,33
171,29
172,33
173,74
174,65
175,54
176,84
177,92
178,80
179,98
180,91
181,94
182,36
183,26
184,33
185,30
186,32
187,19
188,16
189,18
190,18
191,14
192,13
193,14
194,8
195,14
196,7
197,10
198,9
199,8
200,11
201,15
202,19
203,20
204,23
205,26
206,27
207,33
208,65
209,57
210,35
211,21
212,26
213,22
214,32
215,23
216,30
217,42
218,40
219,89
220,152
221,108
222,117
223,58
224,28
225,20
226,30
227,22
228,11
229,17
230,18
231,19
232,11
233,5
234,9
235,16
236,10
237,9
238,13
239,28
240,36
241,52
242,59
243,51
244,103
245,29
246,8
247,7
249,5
250,3
251,5
252,2
254,1
256,2
257,1
258,3
260,2
261,2
264,1
265,1
268,1
269,2
271,2
276,3
278,1
280,2
281,1
282,2
284,1
288,1
290,2
292,2
294,1
295,2
297,3
298,1
299,10
300,1
301,2
302,2
304,1
305,1
306,3
307,2
308,1
309,2
310,4
311,3
315,2
316,1
317,2
318,1
322,1
325,2
327,1
329,1
330,1
331,1
332,3
334,1
335,2
336,5
337,2
338,6
339,1
340,3
344,1
345,4
346,1
347,2
348,4
350,2
351,6
352,5
353,5
354,8
355,6
356,22
357,36
358,15
359,51
360,37
361,34
362,34
363,46
364,71
365,91
366,136
367,208
368,148
369,152
370,171
371,183
372,80
373,43
374,20
375,20
376,16
377,18
378,8
379,12
380,7
381,11
382,3
383,4
384,3
385,4
386,3
387,1
388,1
390,1
391,1
393,1
395,1
396,2
397,1
399,1
401,1
402,1
403,1
404,2
406,1
407,3
409,1
410,1
411,4
412,1
415,3
416,1
417,1
419,1
420,2
423,1
424,2
425,1
428,1
431,1
443,1
446,1
449,1
457,1
464,1
466,1
473,3
474,1
482,2
486,2
487,2
489,1
490,1
491,1
494,2
497,1
500,3
501,1
502,2
505,3
507,1
508,2
510,1
511,1
512,1
513,4
514,2
515,3
519,1
522,1
523,2
524,2
525,1
526,3
530,1
531,1
534,1
543,1
547,1
551,1
553,2
555,1
560,2
566,2
571,2
572,1
573,2
576,1
578,1
582,1
585,2
586,6
592,2
599,1
600,4
601,2
606,9
615,1
616,2
617,1
620,1
623,1
625,1
626,1
628,1
644,1
677,1
689,1
690,2
699,1
700,3
715,1
724,1
726,1
733,1
739,2
741,1
757,1
760,1
775,1
796,1
798,1
800,3
802,1
804,2
806,2
815,8
816,1
819,1
856,1
875,1
880,1
882,1
896,2
900,4
906,1
913,1
915,1
924,2
939,1
943,2
951,1
961,1
991,1
1000,1
1006,2
1011,1
1014,1
1015,1
1031,1
1034,1
1043,1
1065,1
1071,1
1077,1
1082,1
1089,1
1100,8
1104,1
1106,4
1116,1
1125,1
1130,1
1137,1
1164,1
1193,1
1200,1
1201,1
1211,2
1215,1
1229,1
1248,1
1250,1
1264,1
1286,1
1300,2
1315,1
1356,20
1358,1
1364,1
1372,12
1374,1
1395,1
1400,1
1424,1
1428,1
1446,3
1474,1
1485,1
1500,1
1504,1
1505,1
1506,1
1515,1
1517,1
1527,3
1561,1
1600,3
1606,3
1609,1
1612,14
1616,1
1621,14
1627,4
1648,4
1669,14
1672,1
1700,1
1724,1
1736,3
1752,1
1779,1
1780,2
1799,1
1800,1
1838,1
1848,2
1921,1
1924,4
1928,17
1935,1
1958,17
1969,1
1972,2
2000,17
2006,1
2027,2
2034,2
2045,1
2046,5
2054,13
2059,13
2064,1
2070,1
2071,2
2099,1
2100,10
2106,1
2124,1
2126,5
2137,13
2138,1
2140,5
2177,19
2186,1
2206,1
2216,1
2217,1
2221,2
2224,1
2263,5
2264,1
2291,14
2300,5
2306,1
2308,1
2364,1
2400,3
2420,1
2424,2
2469,5
2484,1
2485,1
2500,1
2502,1
2524,1
2590,1
2600,7
2624,1
2650,2
2778,1
2797,2
2815,1
2882,1
2900,1
2919,1
2958,1
2994,1
3000,1
3024,2
3086,1
3100,6
3107,1
3189,1
3200,1
3225,1
3400,1
3424,1
3564,1
3592,1
3600,7
3680,1
3695,1
3700,1
3738,2
4000,2
4383,1
4730,1
5064,1
5100,2
7971,1
10753,1
11546,1
11864,1
13040,1
14040,1
