quantity,count
1,59
2,31
3,30
4,28
5,39
6,7
7,8
8,17
9,16
10,83
11,11
12,10
13,16
14,6
15,14
16,16
17,12
18,22
19,12
20,38
21,6
22,17
23,6
24,10
25,9
26,15
27,4
28,3
29,7
30,20
31,6
32,6
33,4
34,6
35,7
36,7
37,7
38,4
39,4
40,9
41,1
42,6
43,6
44,12
45,4
46,5
47,11
48,2
49,6
50,4
51,3
52,2
53,9
54,4
55,5
56,6
57,7
58,6
59,2
60,9
61,3
62,2
63,4
64,4
66,5
67,3
68,6
69,2
70,5
71,4
72,3
73,3
74,11
75,5
76,6
77,1
78,5
79,3
80,3
81,6
82,21
83,3
84,4
85,3
86,3
87,6
88,3
89,2
90,10
91,4
92,2
94,3
95,4
96,4
97,2
98,3
99,7
100,321
105,1
113,5
114,2
127,1
132,1
164,1
200,2
211,1
300,1
348,1
2454,1
