quantity,count
1,175
2,19
3,18
4,10
5,134
6,10
7,9
8,10
9,3
10,14
11,2
12,1
14,18
15,17
16,8
17,3
18,3
19,5
20,12
21,5
22,7
23,4
24,4
25,2
26,3
27,1
28,5
29,1
30,32
31,2
33,3
34,1
35,6
36,3
37,2
38,3
39,2
40,4
41,3
42,3
44,7
45,2
47,2
48,2
50,5
54,14
55,1
56,2
60,4
61,1
64,8
65,2
67,1
68,3
69,13
70,8
71,15
72,18
73,4
74,12
75,14
76,5
77,9
78,10
79,25
80,11
81,9
82,12
83,13
84,11
85,1
86,2
87,5
88,3
90,18
91,2
92,1
93,1
95,2
96,1
97,2
98,1
99,5
100,4362
102,1
103,3
104,3
105,1
106,5
107,1
109,2
110,1
111,1
112,1
116,2
117,1
118,3
121,1
124,1
126,2
127,1
131,1
132,1
134,2
135,1
138,2
139,2
143,1
144,3
145,1
147,1
149,1
150,2
151,2
152,2
153,2
154,15
155,1
156,1
157,1
159,8
160,1
162,42
167,1
168,1
171,2
172,2
177,2
178,1
179,1
181,1
182,1
183,1
184,2
186,1
192,2
199,1
200,192
229,5
245,1
246,1
250,17
257,1
276,1
277,1
300,219
345,1
363,1
400,6
500,11
600,12
631,1
700,29
800,14
1000,74
1100,1
1400,1
1500,1
2000,2
