distance_ticks,count
0,5739
1,1140
2,415
3,347
4,463
5,568
6,470
7,339
8,312
9,287
10,278
11,145
12,68
13,112
14,103
15,75
16,83
17,182
18,253
19,308
20,162
21,63
22,73
23,163
24,196
25,59
26,52
27,54
28,46
29,88
30,209
31,136
32,95
33,50
34,48
35,22
36,26
37,18
38,14
39,18
40,25
41,25
42,23
43,24
44,26
45,44
46,21
47,6
48,2
49,2
50,10
51,8
52,13
53,13
54,20
55,11
56,10
57,14
58,23
59,21
60,7
61,10
62,3
63,6
64,8
65,7
66,6
67,16
68,18
69,25
70,29
71,43
72,73
73,84
74,49
75,46
76,14
77,8
78,2
79,9
80,2
81,1
82,6
84,1
86,3
87,2
90,1
91,4
92,1
93,1
95,5
96,6
97,1
98,7
99,2
100,5
101,5
102,1
103,1
104,1
110,1
112,1
114,1
119,1
122,1
124,2
126,5
127,1
128,3
130,2
132,2
135,5
139,5
140,2
141,1
142,3
144,3
145,4
146,3
147,1
154,1
155,5
156,24
157,1
159,23
160,1
161,23
162,1
163,1
164,19
165,2
166,3
167,19
169,1
170,1
172,1
173,19
174,1
175,1
177,19
179,1
182,1
184,1
185,22
186,2
188,2
189,1
190,2
195,3
203,12
204,17
206,6
207,6
208,17
211,6
212,1
215,2
220,11
222,1
225,2
227,1
230,1
231,1
233,1
234,1
239,4
241,1
243,6
247,2
251,3
252,4
265,2
266,42
267,2
268,1
269,3
270,23
273,24
274,1
275,42
276,2
278,3
280,1
281,21
282,1
283,2
284,1
285,1
288,1
291,1
298,1
303,1
305,1
310,1
315,1
322,1
345,1
371,1
374,1
395,1
424,1
465,1
474,1
494,1
495,3
503,1
525,2
540,1
548,1
554,1
595,1
603,1
622,2
625,1
626,1
640,1
641,1
710,1
820,1
844,2
846,1
892,1
925,1
975,1
1174,1
1295,1
1324,1
1372,1
1405,1
1440,1
1495,1
1520,1
1525,1
1540,1
1774,1
2022,1
2025,1
2374,3
2471,1
2724,1
