quantity,count
1,390
2,74
3,15
4,11
5,41
6,7
8,2
9,1
10,145
11,21
12,17
13,7
14,10
15,65
16,9
17,21
18,21
19,10
20,50
21,18
22,4
23,4
24,11
25,22
26,18
27,11
28,11
29,8
30,331
31,8
32,7
33,4
34,2
35,2
36,6
37,2
38,2
40,35
41,2
42,4
43,3
44,4
45,2
46,11
47,5
48,14
49,3
50,68
51,2
52,4
53,2
54,4
55,13
56,2
57,1
58,1
60,21
61,5
62,11
63,4
64,16
65,5
66,9
67,3
68,14
69,10
70,11
71,2
72,5
73,9
75,5
76,4
77,3
78,1
79,5
80,11
81,2
82,1
83,1
85,8
86,1
87,4
88,3
89,1
90,4
91,1
92,1
93,2
94,11
95,3
96,3
97,3
99,2
100,18954
101,2
102,2
103,2
104,2
105,3
107,1
109,3
110,4
112,1
113,1
114,1
115,4
116,1
117,1
118,2
119,1
120,2
121,1
122,1
123,1
125,3
126,3
128,1
129,4
130,4
131,2
132,2
133,3
134,9
135,2
137,1
138,1
139,2
140,7
143,1
144,1
145,4
146,2
147,2
148,2
149,2
150,9
151,3
153,3
155,14
157,1
159,3
160,3
161,1
162,5
163,1
164,6
165,3
166,3
167,4
169,1
170,4
173,2
174,2
175,1
176,1
177,1
179,6
180,1
182,1
184,2
191,2
192,1
193,1
195,3
196,1
197,1
198,4
199,4
200,3972
201,1
202,1
212,1
216,1
217,2
220,5
225,2
226,13
229,2
233,1
238,3
242,1
243,1
244,2
246,1
248,1
250,10
251,2
257,6
259,3
262,1
265,1
270,1
274,1
280,1
290,2
293,1
299,2
300,1309
301,2
302,1
303,2
306,1
307,1
308,1
310,59
311,4
312,10
313,2
314,24
315,2
316,3
318,1
320,59
325,1
327,9
328,1
329,1
330,14
331,1
333,1
334,1
335,3
339,8
340,65
341,2
342,2
344,8
345,2
347,5
348,28
350,35
351,1
355,1
356,11
358,4
359,8
360,38
361,1
364,1
366,3
370,61
372,3
374,2
375,22
376,9
378,10
379,4
380,57
381,1
383,1
384,2
386,7
387,4
388,3
389,1
390,11
394,2
396,3
397,8
399,12
400,1209
402,1
403,1
405,1
409,15
410,3
412,16
417,1
418,3
430,3
431,2
433,1
436,1
441,8
448,1
450,17
454,1
455,16
459,1
460,18
467,46
472,6
474,1
475,1
476,1
480,2
485,7
487,1
490,1
495,1
498,6
500,749
501,1
520,1
524,5
525,2
547,1
549,1
550,1
571,1
579,1
600,526
609,2
616,1
660,1
670,1
700,254
702,1
742,1
750,5
758,1
761,2
777,1
800,379
840,1
854,1
899,1
900,374
901,1
950,1
970,5
993,1
1000,417
1100,73
1150,2
1200,82
1295,2
1300,110
1333,1
1400,41
1464,1
1500,30
1546,1
1600,12
1615,1
1635,1
1650,5
1699,1
1700,13
1715,1
1720,1
1724,1
1800,14
1900,68
1938,1
2000,197
2100,100
2200,53
2300,8
2328,1
2400,2
2489,1
2500,22
2543,3
2575,3
2600,10
2666,1
2667,2
2700,6
2724,1
2800,6
2900,8
2954,3
2985,1
3000,11
3100,2
3115,1
3124,1
3160,2
3200,2
3300,1
3400,3
3500,5
3600,2
3800,3
3900,1
4000,104
4188,1
4200,1
4400,1
4500,37
4600,1
5000,17
5200,1
5400,5
5500,1
5600,3
5800,2
5900,1
6000,3
6200,2
6400,2
6500,2
6700,1
6953,1
7100,1
7200,7
7500,1
8200,2
9900,5
10000,1
10300,1
14500,1
18481,1
41800,1
50000,2
