distance_ticks,count
0,292
1,134
2,44
3,26
4,45
5,33
6,27
7,27
8,34
9,20
10,32
11,24
12,21
13,18
14,23
15,22
16,11
17,20
18,13
19,20
20,16
21,18
22,10
23,16
24,22
25,20
26,15
27,22
28,14
29,2
30,16
31,15
32,14
33,15
34,4
35,5
36,4
37,14
38,17
39,13
40,10
41,8
42,2
43,6
44,9
45,7
46,8
47,5
48,8
49,4
50,3
51,3
52,3
53,5
54,2
55,4
56,5
57,5
58,1
59,3
60,1
62,1
63,2
64,1
66,1
67,4
68,2
70,4
73,3
75,1
76,1
77,1
79,1
81,3
82,3
84,1
85,2
86,3
87,5
88,1
90,4
91,2
92,4
93,2
94,4
95,8
96,4
97,3
98,7
100,1
101,1
102,3
103,1
104,2
105,3
106,3
107,2
108,3
109,4
111,2
114,8
116,6
117,8
118,4
119,8
121,1
123,2
124,3
126,1
127,1
128,2
129,1
130,5
131,2
135,1
138,3
147,1
149,3
150,1
151,2
152,4
154,1
161,2
164,8
167,2
186,3
196,2
352,1
