quantity,count
1,6
2,5
3,4
4,5
7,1
8,2
9,1
10,1
11,1
12,1
14,1
15,2
16,1
17,1
18,2
22,1
23,1
24,1
28,1
31,2
34,2
40,2
42,1
43,1
45,2
46,1
48,1
49,3
50,4
51,1
52,2
55,2
58,1
59,1
60,1
62,1
64,1
67,2
73,1
77,1
87,1
89,1
90,1
91,2
93,1
96,1
98,2
100,116
105,1
108,1
132,1
133,1
142,1
148,1
150,1
155,1
158,2
166,1
169,1
180,1
196,1
199,1
200,13
233,1
235,1
250,1
285,1
300,4
318,1
358,1
400,2
404,1
477,1
497,1
500,2
520,1
700,1
759,1
770,1
900,2
1000,3
1099,1
1100,2
1152,1
1400,1
1414,1
1506,1
1900,4
2100,1
2116,1
2680,1
3000,2
4000,2
4400,1
4600,1
5000,1
6900,2
7000,1
7800,1
8000,1
12100,1
12300,1
24700,1
