quantity,count
1,38
2,33
3,12
4,18
5,30
6,15
7,15
8,2
9,6
10,15
11,6
12,5
13,10
14,3
15,7
16,2
17,6
18,4
19,1
20,9
21,2
22,4
23,4
24,6
25,7
26,1
27,7
28,5
29,4
30,5
31,3
32,3
33,8
35,1
37,2
38,3
39,1
40,4
41,1
42,10
44,10
45,3
46,1
47,7
48,7
49,6
50,5
51,6
52,4
53,6
54,2
55,4
56,10
57,4
58,6
60,2
62,2
64,2
65,2
67,5
68,2
69,2
72,1
73,1
75,8
76,9
77,1
78,2
79,2
80,6
82,1
83,4
84,1
85,2
86,4
87,6
88,3
89,2
90,4
91,5
92,2
93,4
94,3
95,5
96,4
97,1
98,3
99,6
100,145
123,1
127,1
132,1
134,1
142,2
147,1
151,1
156,1
158,3
171,1
177,1
187,1
190,1
195,1
196,2
198,2
200,8
281,1
300,2
382,1
400,2
500,1
