quantity,count
1,729
2,209
3,122
4,109
5,283
6,41
7,53
8,29
9,65
10,240
11,102
12,78
13,22
14,27
15,36
16,43
17,60
18,20
19,505
20,89
21,75
22,15
23,23
24,30
25,16
26,23
27,40
28,24
29,110
30,304
31,11
32,9
33,16
34,11
35,17
36,72
37,11
38,6
39,9
40,32
41,7
42,7
43,2
44,5
45,3
46,13
47,86
48,1
49,5
50,15
51,6
52,17
53,13
54,5
55,9
56,46
57,8
58,7
59,3
60,5
61,6
62,7
63,5
64,8
65,4
66,43
67,17
68,4
69,4
70,19
71,3
72,8
74,4
75,104
76,6
77,7
78,75
79,17
80,11
81,3
82,1
84,6
85,26
86,4
87,1
88,6
89,12
90,2
91,5
93,6
94,1
95,1
96,8
97,2
98,22
99,11
100,20583
101,13
103,1
104,11
105,84
108,1
112,2
114,1
119,1
128,1
129,1
132,4
134,2
135,1
138,3
139,19
140,1
150,1
156,17
162,1
180,7
183,2
186,14
189,2
190,1
199,10
200,688
206,1
300,69
396,1
400,87
500,62
1050,1
