quantity,count
1,251
2,105
3,46
4,35
5,81
6,28
7,35
8,17
9,19
10,61
11,19
12,18
13,12
14,13
15,23
16,13
17,31
18,8
19,16
20,40
21,18
22,11
23,11
24,12
25,7
26,15
27,6
28,10
29,22
30,26
31,4
32,8
33,3
34,10
35,7
36,11
37,4
38,7
39,6
40,20
41,8
42,5
43,5
44,4
45,2
46,3
47,8
48,3
49,5
50,18
51,8
52,2
53,1
54,4
55,4
56,1
57,4
58,1
59,3
60,8
61,2
62,6
63,5
64,6
65,3
66,9
67,1
68,2
69,3
70,4
71,3
72,3
73,3
74,1
75,7
76,3
77,2
78,2
79,8
80,3
81,3
82,4
83,3
84,2
85,4
86,5
87,3
88,4
89,4
90,7
91,1
92,3
93,6
94,3
95,8
96,3
97,4
98,9
99,17
100,350
112,1
149,1
157,1
176,1
195,1
198,1
200,8
300,1
