quantity,count
1,14
2,3
3,3
4,17
5,52
6,1
7,18
10,10
11,2
15,8
16,2
20,13
21,1
22,2
23,3
25,7
29,1
30,20
32,1
33,2
34,1
35,3
37,2
39,2
40,6
41,3
42,2
44,1
45,6
46,1
47,33
48,62
49,2
50,13
51,3
52,1
53,2
54,5
55,3
56,1
57,1
58,3
59,4
60,8
62,2
63,1
64,1
65,2
66,1
67,1
69,1
70,1
73,1
74,1
75,4
76,1
79,1
80,1
81,1
84,1
86,1
87,2
91,1
92,1
98,1
100,2500
105,1
110,1
113,2
114,1
115,2
150,6
157,1
161,1
165,3
200,166
229,2
250,12
279,1
300,146
333,1
350,3
391,1
400,201
420,3
428,1
476,1
500,32
540,1
574,1
583,1
600,10
633,1
700,13
705,2
750,2
800,8
805,1
900,10
905,1
1000,84
1050,2
1100,28
1150,2
1200,5
1300,158
1311,1
1380,2
1400,2
1404,2
1460,1
1500,29
1600,1
1700,1
1800,2
1825,1
1860,1
1900,1
1930,1
1932,1
2000,23
2131,1
2175,1
2187,1
2200,1
2250,1
2311,1
2371,2
2400,1
2457,2
2500,4
2600,1
2737,1
2913,2
3000,3
3250,4
3339,1
3500,1
3532,1
3656,2
3724,1
3752,2
3913,1
4000,2
4113,1
4240,1
4340,1
4400,2
4440,1
4500,1
4600,1
4950,1
4999,1
5000,21
5208,92
5216,4
5300,1
5500,1
5600,1
5613,1
5730,1
6000,2
7000,2
7500,3
7600,1
7613,1
9500,1
10000,2
10259,3
11500,1
20000,5
23540,2
35000,1
