quantity,count
1,253
2,107
3,56
4,44
5,66
6,28
7,43
8,24
9,16
10,39
11,22
12,16
13,18
14,23
15,14
16,18
17,12
18,20
19,20
20,34
21,16
22,23
23,15
24,11
25,15
26,21
27,18
28,23
29,18
30,27
31,20
32,16
33,16
34,11
35,18
36,10
37,10
38,15
39,12
40,18
41,10
42,12
43,15
44,9
45,9
46,18
47,18
48,11
49,15
50,39
51,14
52,19
53,15
54,15
55,11
56,8
57,10
58,11
59,8
60,11
61,14
62,15
63,15
64,14
65,14
66,5
67,13
68,10
69,10
70,21
71,10
72,13
73,10
74,12
75,14
76,17
77,5
78,10
79,9
80,13
81,10
82,11
83,6
84,16
85,10
86,10
87,10
88,13
89,12
90,12
91,15
92,4
93,9
94,12
95,16
96,16
97,13
98,24
99,29
100,3636
101,4
102,7
103,4
104,5
105,1
107,3
109,6
110,2
111,6
112,2
113,1
114,3
115,3
116,2
117,4
118,4
119,2
120,5
121,3
122,1
123,1
124,7
125,2
126,3
127,2
129,2
130,1
131,4
133,3
134,4
135,2
137,2
138,1
139,4
140,4
141,3
143,3
144,1
145,2
148,2
149,2
150,9
151,4
152,3
154,3
155,2
156,2
157,2
159,3
160,2
161,3
162,3
163,1
164,3
165,4
167,1
170,3
172,3
173,1
174,3
175,1
176,1
177,2
178,2
180,4
181,3
182,1
183,2
184,4
185,1
186,2
187,2
188,3
189,2
190,1
191,2
192,2
193,2
194,2
196,4
197,4
198,6
199,7
200,530
201,2
202,1
203,1
204,1
205,1
207,1
209,2
210,1
211,1
216,3
217,2
218,1
219,1
220,4
221,1
222,1
223,3
224,2
225,2
226,2
227,1
228,2
230,1
236,1
237,2
239,1
240,2
241,2
242,2
243,1
244,4
246,1
248,1
249,1
250,4
253,1
254,1
255,2
256,1
257,1
258,1
259,1
260,3
261,3
263,3
266,1
268,3
269,2
270,1
271,2
272,1
273,2
274,1
275,2
279,1
280,1
281,1
282,1
283,1
284,1
286,2
287,1
290,2
291,2
292,1
293,1
294,1
295,1
296,1
297,1
298,5
299,3
300,221
302,3
303,2
304,1
305,1
309,1
310,2
311,1
312,2
314,1
316,1
318,3
321,1
322,1
326,1
327,1
330,3
333,1
334,1
335,2
336,1
337,2
338,3
339,1
340,4
341,1
343,1
346,1
347,1
348,1
350,7
351,1
355,2
356,1
357,1
358,3
359,1
360,2
368,2
369,1
370,2
374,1
375,1
377,1
378,1
379,2
380,4
384,1
386,1
387,1
390,2
392,1
395,1
396,1
397,2
399,2
400,126
405,1
406,1
410,1
422,1
426,1
430,3
433,1
437,1
440,1
448,1
450,3
452,1
454,1
460,2
461,1
462,1
464,1
466,1
467,1
470,1
471,1
475,2
477,1
487,1
488,2
490,3
498,3
500,90
501,1
505,1
514,1
515,1
516,1
520,1
523,2
524,2
527,1
541,1
549,1
550,1
552,1
563,1
564,1
567,1
575,1
579,1
581,1
587,1
594,3
598,1
599,1
600,63
601,1
603,1
604,1
631,1
632,1
637,1
639,1
644,1
649,1
650,1
656,1
659,1
664,1
670,2
675,1
677,1
680,3
685,2
686,1
689,1
696,1
697,2
700,36
702,1
706,1
718,1
720,1
730,1
731,1
743,1
780,1
782,1
789,1
792,1
794,1
800,40
805,1
810,1
848,1
856,1
880,1
887,1
900,22
921,2
946,1
952,1
963,1
965,1
983,1
1000,47
1053,1
1080,1
1081,1
1087,1
1100,20
1198,1
1200,13
1242,1
1288,1
1292,1
1300,14
1316,1
1331,1
1347,1
1395,1
1400,8
1491,1
1500,16
1530,1
1600,5
1695,1
1698,1
1700,6
1795,1
1800,1
1900,2
1928,1
2000,3
2100,2
2116,1
2149,1
2182,1
2200,3
2266,1
2294,1
2300,4
2497,1
2500,3
2598,1
2600,4
2800,1
2900,2
2961,1
3068,1
3100,3
3400,1
3402,1
4236,1
4926,1
6000,1
7200,1
11181,1
