distance_ticks,count
0,17182
1,7389
2,2101
3,1215
4,941
5,763
6,886
7,776
8,598
9,481
10,409
11,278
12,234
13,184
14,163
15,201
16,181
17,139
18,122
19,172
20,167
21,223
22,192
23,239
24,76
25,65
26,73
27,125
28,283
29,206
30,220
31,66
32,30
33,48
34,39
35,31
36,33
37,29
38,44
39,59
40,31
41,28
42,23
43,21
44,24
45,30
46,16
47,16
48,24
49,32
50,27
51,28
52,36
53,33
54,30
55,16
56,37
57,27
58,37
59,18
60,19
61,28
62,57
63,164
64,245
65,317
66,250
67,193
68,59
69,46
70,37
71,54
72,45
73,59
74,69
75,73
76,92
77,142
78,188
79,239
80,227
81,159
82,127
83,92
84,45
85,31
86,38
87,16
88,12
89,9
90,8
91,8
92,7
93,44
94,8
95,19
96,25
97,9
98,16
99,14
100,86
101,61
102,94
103,30
104,72
105,19
106,23
107,36
108,30
109,36
110,28
111,36
112,58
113,91
114,119
115,204
116,225
117,203
118,238
119,155
120,58
121,48
122,41
123,42
124,32
125,21
126,20
127,15
128,27
129,11
130,6
131,5
132,8
133,9
134,35
135,42
136,98
137,55
138,75
139,5
140,2
141,3
142,1
143,2
144,3
145,1
147,1
148,3
149,1
150,1
151,1
153,2
154,1
155,4
156,4
158,2
159,1
160,2
161,4
162,2
163,2
164,1
165,2
166,1
168,2
169,3
174,1
175,2
177,2
178,1
180,2
181,1
183,1
188,2
189,3
190,2
191,1
192,2
193,4
194,2
196,4
199,1
200,2
201,1
205,4
206,1
207,28
208,5
209,2
210,33
211,32
213,2
214,1
215,4
216,1
217,9
219,2
223,4
224,1
226,1
227,4
229,2
230,2
231,4
234,2
235,5
237,2
239,1
240,1
244,1
246,1
247,1
248,1
250,29
251,5
253,31
257,30
258,2
260,1
261,2
264,1
266,1
267,1
268,2
270,1
273,24
275,1
288,1
289,1
291,1
292,1
296,1
300,3
301,2
303,1
306,1
307,2
308,4
309,2
310,1
311,2
314,1
315,1
316,2
317,1
319,2
321,3
323,2
325,1
347,2
371,2
394,1
395,1
406,1
413,2
416,1
426,1
440,1
449,1
451,1
454,1
465,2
473,2
500,1
508,1
536,1
537,2
551,1
559,1
567,1
569,1
580,1
590,1
607,1
636,1
652,1
657,2
660,1
700,1
703,1
712,1
713,1
714,1
722,2
725,1
744,1
751,1
768,2
770,14
775,15
779,7
781,30
782,7
790,7
800,3
807,7
932,1
935,1
951,1
952,1
1001,1
1015,1
1028,3
1045,3
1051,2
1066,1
1072,1
1073,1
1075,2
1105,1
1124,31
1135,1
1140,54
1143,7
1155,33
1166,1
1167,1
1201,1
1256,2
1267,2
1278,5
1551,1
1767,1
1800,2
1925,1
2057,2
2151,1
2200,1
2207,1
2250,1
2300,1
2451,1
2551,1
2851,1
3068,1
3151,1
3201,1
3557,1
3630,1
3648,1
3933,1
3957,1
4007,1
4057,1
4167,1
4217,1
4366,1
4400,1
4767,1
5057,1
5157,1
5175,1
5267,1
5457,1
5600,1
5867,1
6051,1
6157,1
6207,1
6280,1
6367,1
6417,1
6557,1
6767,1
7251,1
7551,2
8051,1
8800,1
9051,1
9057,1
9267,1
9300,1
10257,1
10300,1
10467,1
10557,2
10767,1
11051,1
12300,1
12651,1
13900,1
19057,1
26051,1
27300,1
29142,1
9996000,1
9997300,1
9999077,1
9999120,1
9999260,1
19996203,4
19996213,2
