distance_ticks,count
0,19695
1,5629
2,3116
3,2243
4,2181
5,2839
6,1759
7,1339
8,1072
9,1062
10,850
11,716
12,592
13,557
14,483
15,451
16,446
17,397
18,456
19,338
20,445
21,319
22,225
23,221
24,224
25,205
26,191
27,544
28,580
29,556
30,592
31,517
32,412
33,382
34,325
35,205
36,189
37,134
38,133
39,127
40,137
41,97
42,51
43,79
44,67
45,34
46,25
47,20
48,9
49,21
50,16
51,25
52,19
53,13
54,13
55,14
56,17
57,21
58,33
59,14
60,15
61,17
62,16
63,15
64,12
65,11
66,17
67,16
68,6
69,4
70,9
71,4
72,4
73,4
74,5
75,7
76,8
77,5
78,5
79,12
80,11
81,5
82,2
83,4
84,7
85,6
86,2
87,7
88,4
89,8
90,8
91,5
92,4
93,6
94,4
95,2
96,5
97,9
98,2
99,6
100,8
101,5
102,4
103,10
104,8
105,12
106,11
107,17
108,21
109,21
110,34
111,47
112,79
113,157
114,311
115,718
116,327
117,180
118,147
119,160
120,368
121,625
122,899
123,667
124,261
125,123
126,82
127,49
128,46
129,40
130,40
131,52
132,103
133,248
134,252
135,346
136,142
137,74
138,20
139,15
140,5
141,3
142,2
143,1
144,1
146,3
147,3
148,5
149,2
150,2
152,4
153,1
154,3
155,5
156,3
157,1
158,1
159,4
160,3
161,5
162,5
163,2
164,2
165,2
166,1
167,2
168,1
169,4
170,2
171,1
172,3
173,1
174,5
175,2
177,4
179,3
181,1
182,4
183,3
184,1
185,4
186,2
187,1
188,3
189,1
190,1
191,2
192,2
193,4
194,2
195,2
196,1
197,1
199,2
200,4
202,2
203,2
204,1
205,3
206,3
207,2
208,4
209,2
210,3
211,6
212,4
213,6
214,6
215,2
216,1
217,2
218,2
219,1
221,1
222,1
224,1
225,1
226,2
227,1
230,1
232,2
233,1
235,1
237,2
239,1
242,2
243,4
244,1
245,5
247,1
248,2
249,3
250,1
251,1
252,1
256,3
261,1
262,2
264,2
265,4
266,4
267,10
268,4
270,2
271,2
273,1
274,1
275,1
276,2
278,2
279,1
280,4
281,2
282,6
283,7
284,6
285,5
286,3
287,4
290,7
291,3
293,1
297,1
299,3
302,3
303,3
304,1
305,1
306,3
307,5
308,5
309,6
310,5
311,5
312,7
314,2
315,1
317,4
318,3
319,4
321,4
322,7
323,7
324,7
325,14
326,13
327,32
328,34
329,61
330,79
331,177
332,326
333,412
334,344
335,191
336,130
337,48
338,25
339,22
340,14
341,7
342,3
343,4
344,2
345,9
346,5
349,2
353,1
354,1
355,1
357,1
359,3
367,1
369,1
370,11
372,1
374,1
379,1
380,3
382,1
383,1
387,3
389,2
393,5
396,1
400,4
401,1
402,1
403,2
404,1
406,4
408,1
411,3
413,3
414,1
428,1
430,7
433,1
440,1
442,2
443,3
444,2
446,1
447,4
452,2
453,1
455,2
464,1
465,1
467,4
470,3
474,1
481,1
486,1
488,1
490,1
493,11
494,1
495,3
500,1
505,1
507,1
509,1
514,2
517,3
521,1
522,1
524,1
525,22
527,1
529,1
532,1
533,1
534,1
536,1
538,1
551,14
552,3
553,2
559,1
562,2
567,11
570,4
576,1
578,1
579,1
580,1
601,1
614,2
620,1
628,1
631,1
635,1
647,1
659,1
660,2
664,1
667,1
670,1
671,1
700,1
714,1
721,1
745,1
764,2
767,3
770,1
793,2
800,1
801,1
806,1
809,3
810,2
811,1
814,2
817,1
820,2
827,1
837,1
856,1
865,2
867,1
870,12
887,3
888,1
890,1
893,1
900,2
901,2
904,1
914,1
917,1
925,1
933,1
939,1
944,5
950,2
959,1
965,1
969,1
972,2
978,1
981,1
985,1
991,1
993,8
1000,1
1013,3
1014,4
1015,3
1021,1
1031,1
1032,3
1037,34
1039,1
1042,1
1043,3
1047,3
1048,1
1051,1
1055,34
1067,5
1070,1
1071,1
1072,1
1078,1
1084,2
1086,2
1087,1
1088,33
1092,1
1095,1
1097,1
1100,4
1106,1
1107,19
1108,3
1110,1
1111,12
1112,1
1114,7
1115,1
1120,1
1122,1
1125,14
1126,3
1129,34
1130,1
1131,1
1132,34
1134,19
1139,12
1140,2
1141,1
1144,19
1153,2
1156,32
1158,1
1163,1
1164,2
1166,2
1171,13
1176,3
1180,1
1181,1
1194,1
1204,35
1208,14
1214,1
1217,1
1218,34
1225,1
1238,24
1241,10
1256,34
1260,1
1267,1
1270,1
1271,1
1274,9
1293,1
1299,2
1300,1
1302,1
1307,1
1309,1
1313,34
1314,2
1347,1
1358,1
1370,3
1372,1
1381,1
1386,2
1393,1
1400,12
1420,4
1424,1
1428,2
1444,1
1455,1
1474,1
1493,2
1514,2
1549,1
1567,1
1586,1
1593,1
1600,2
1613,1
1614,5
1667,1
1693,1
1700,2
1770,1
1793,1
1794,1
1835,1
1867,1
1870,1
1900,3
1914,1
1970,1
2000,1
2114,2
2170,1
2200,1
2214,1
2263,1
2286,1
2335,1
2337,1
2376,1
2400,4
2414,1
2590,1
2614,4
2640,1
2670,1
2835,1
2884,1
2914,1
3493,1
3567,1
3620,1
3870,1
3885,1
3900,1
3993,1
4099,1
4114,1
7900,1
7940,1
