quantity,count
1,628
2,244
3,117
4,78
5,274
6,52
7,69
8,35
9,73
10,1226
11,30
12,278
13,55
14,26
15,26
16,48
17,19
18,12
19,28
20,1153
21,57
22,318
23,21
24,134
25,43
26,41
27,15
28,28
29,11
30,347
31,16
32,7
33,8
34,21
35,37
36,49
37,21
38,21
39,36
40,160
41,20
42,44
43,22
44,17
45,8
46,18
47,11
48,56
49,16
50,260
51,77
52,71
53,79
54,38
55,118
56,44
57,38
58,39
59,22
60,50
61,18
62,39
63,128
64,30
65,30
66,30
67,37
68,81
69,120
70,77
71,33
72,32
73,43
74,28
75,35
76,23
77,40
78,92
79,17
80,57
81,16
82,26
83,13
84,107
85,19
86,62
87,33
88,258
89,20
90,81
91,42
92,19
93,87
94,56
95,44
96,33
97,27
98,24
99,123
100,85201
101,17
102,14
103,13
104,14
105,14
106,9
107,89
108,11
109,10
110,12
111,7
112,15
113,9
114,17
115,15
116,12
117,3
118,3
119,8
120,13
121,6
122,6
123,9
124,7
125,11
126,16
127,1
128,3
129,3
130,2
131,2
132,1
133,3
134,8
135,3
136,5
137,14
138,7
139,3
140,3
141,1
142,7
143,2
144,3
145,1
146,3
148,10
149,2
150,9
151,38
152,4
153,6
154,5
155,5
156,11
157,3
158,3
159,2
160,2
161,2
162,3
163,3
164,14
167,2
168,7
169,3
170,6
171,12
172,5
173,3
174,3
175,1
176,3
177,4
179,1
180,4
181,1
182,1
183,1
184,5
186,86
188,1
189,2
192,1
193,1
194,1
195,10
196,6
197,8
199,3
200,13627
201,4
202,10
204,2
205,7
207,5
210,1
211,11
213,4
216,1
217,1
218,5
219,1
220,12
221,1
222,2
225,3
227,1
230,52
233,3
238,2
241,2
243,12
245,8
246,6
248,2
249,1
250,2
251,1
258,8
260,2
262,2
264,3
265,4
268,1
274,1
277,1
282,5
285,3
292,1
294,1
295,4
299,1
300,2587
303,2
307,7
308,2
319,1
321,1
322,1
323,1
324,1
328,1
330,1
334,1
336,1
341,1
350,2
355,1
357,2
358,1
360,1
362,124
363,1
365,105
374,71
375,6
380,1
398,35
400,1998
401,1
405,2
412,1
417,29
424,1
429,1
430,1
439,1
445,1
451,1
456,1
500,614
529,1
595,1
600,307
645,1
700,133
729,1
757,1
800,99
870,1
900,28
995,1
1000,118
1100,8
1200,8
1300,1
1400,3
1600,5
2000,58
2500,1
2600,4
3000,2
3500,1
3600,1
4100,1
4799,1
5000,1
5200,1
10838,2
11038,1
13893,1
