distance_ticks,count
0,8126
1,1532
2,423
3,372
4,373
5,271
6,184
7,202
8,406
9,465
10,177
11,274
12,197
13,178
14,287
15,173
16,314
17,118
18,62
19,33
20,57
21,24
22,14
23,14
24,17
25,11
26,25
27,19
28,28
29,57
30,114
31,153
32,137
33,46
34,58
35,87
36,213
37,88
38,27
39,39
40,118
41,154
42,33
43,13
44,8
45,12
46,22
47,32
48,48
49,152
50,274
51,103
52,16
53,9
54,10
55,2
56,5
57,5
58,5
59,6
60,2
61,3
62,2
63,5
64,2
65,5
66,2
67,2
68,4
69,1
70,4
71,4
72,11
73,7
74,6
75,2
76,1
77,6
78,4
79,3
80,4
81,2
82,3
83,4
84,5
85,1
87,3
88,4
89,1
90,2
92,6
93,8
94,6
97,2
98,2
99,1
100,1
102,3
103,4
104,6
105,3
108,1
109,2
110,1
112,1
113,4
114,5
115,6
116,5
117,14
118,12
119,19
120,58
121,179
122,143
123,57
124,45
125,57
126,100
127,102
128,26
129,8
130,10
131,6
132,3
133,16
134,10
135,3
136,2
138,1
141,1
142,3
144,3
145,1
147,1
148,5
149,24
150,33
151,2
152,3
153,1
157,3
160,1
162,1
163,3
166,3
167,3
168,1
169,1
173,1
176,2
178,5
179,1
181,1
183,3
191,1
199,1
201,2
208,1
209,1
211,1
212,1
217,1
228,3
230,1
231,2
238,1
239,1
240,1
253,4
259,1
264,1
275,3
277,1
279,1
284,29
290,29
294,2
298,1
299,1
310,1
319,1
324,1
325,2
327,1
330,21
335,3
337,2
344,1
351,1
356,1
363,8
364,2
365,20
372,1
373,9
375,19
380,13
403,2
407,3
419,3
424,1
427,3
455,29
467,29
475,29
495,2
527,1
531,2
852,1
1528,1
1625,1
