quantity,count
1,10
2,4
3,1
4,1
5,10
6,7
7,3
8,6
9,2
10,5
11,1
12,1
13,5
16,18
17,13
21,2
26,2
30,219
35,1
41,4
50,2
55,1
62,1
65,2
76,1
80,1
82,8
85,1
88,3
92,2
93,1
95,2
98,3
99,4
100,926
101,3
102,1
103,2
104,2
105,3
106,5
107,3
108,4
110,5
111,2
112,2
113,1
114,1
115,3
116,3
117,8
118,3
119,3
120,2
121,1
122,3
123,1
124,3
126,2
127,2
128,1
129,2
131,14
133,1
134,1
135,8
136,1
139,2
141,1
142,2
143,1
144,1
147,1
149,2
153,1
154,1
161,1
162,1
166,1
167,2
174,1
175,2
177,1
187,1
192,1
193,1
197,1
200,250
204,1
207,1
218,1
236,1
239,1
257,1
258,1
272,1
274,1
275,1
277,1
280,1
290,1
300,28
400,41
500,43
600,9
630,2
700,20
730,1
749,1
783,1
800,8
812,1
855,1
900,14
1000,32
1040,1
1100,4
1169,1
1185,1
1200,1
1250,4
1300,2
1400,5
1404,1
1500,3
1600,1
1800,16
2000,5
2200,18
2300,3
2400,19
2500,7
2600,15
3000,5
3100,11
3200,1
3343,2
3626,1
4000,3
4400,1
4626,1
4800,1
5000,7
5300,1
6000,1
6300,3
7300,2
10000,2
17647,1
200000,2
250000,4
