quantity,count
1,142
2,11
3,8
4,7
5,25
6,5
7,7
8,14
9,5
10,10
11,6
12,3
13,2
14,1
15,6
16,4
17,4
18,2
19,2
20,8
21,4
22,1
23,6
24,5
25,4
26,5
27,3
29,5
30,5
31,1
32,2
33,2
34,1
36,3
37,6
38,6
39,1
40,3
41,1
42,4
43,2
44,1
45,1
46,3
47,1
48,2
50,5
51,2
53,1
54,1
55,2
56,2
57,1
58,2
60,4
62,2
63,1
65,2
67,3
68,2
69,2
70,4
73,1
74,1
75,1
76,1
77,1
78,2
79,2
80,3
81,2
82,1
85,1
86,1
87,3
88,1
89,3
90,1
91,1
92,1
93,2
94,1
95,2
96,1
98,3
99,8
100,166
101,1
107,2
108,1
110,1
114,4
116,1
117,1
120,1
122,1
136,1
154,1
163,1
164,1
170,1
174,1
181,1
195,2
199,1
200,12
204,1
219,1
231,1
240,1
274,2
280,1
288,1
296,1
299,2
300,6
400,7
407,1
700,1
900,1
1000,3
1191,1
1400,1
1500,1
1800,1
